variant,seed,auc,base_auc,delta_auc,accuracy,base_accuracy,delta_accuracy
base,7,0.787479,0.787479,0.0,0.721163,0.721163,0.0
base,17,0.784689,0.784689,0.0,0.712313,0.712313,0.0
base,37,0.785978,0.785978,0.0,0.713763,0.713763,0.0
generic_qk_warrant,7,0.790601,0.787479,0.003121999999999958,0.717806,0.721163,-0.0033569999999999434
generic_qk_warrant,17,0.790366,0.784689,0.005677000000000043,0.718035,0.712313,0.005722000000000005
generic_qk_warrant,37,0.790011,0.785978,0.004033000000000064,0.719713,0.713763,0.005950000000000011
param_control,7,0.810685,0.787479,0.02320599999999995,0.735505,0.721163,0.014341999999999966
param_control,17,0.80043,0.784689,0.015741000000000005,0.725053,0.712313,0.012739999999999974
param_control,37,0.810398,0.785978,0.024419999999999997,0.73375,0.713763,0.019986999999999977
handcrafted_only_control,7,0.82365,0.787479,0.03617099999999995,0.747864,0.721163,0.026700999999999975
handcrafted_only_control,17,0.813774,0.784689,0.029085000000000027,0.733598,0.712313,0.021285
handcrafted_only_control,37,0.821793,0.785978,0.03581500000000004,0.747254,0.713763,0.03349099999999994
edge_conditioned_warrant,7,0.897353,0.787479,0.10987399999999992,0.836054,0.721163,0.11489099999999997
edge_conditioned_warrant,17,0.895425,0.784689,0.11073600000000006,0.825984,0.712313,0.11367100000000008
edge_conditioned_warrant,37,0.901125,0.785978,0.115147,0.836665,0.713763,0.12290199999999996
shuffled_edge_query,7,0.638553,0.787479,-0.148926,0.578959,0.721163,-0.142204
shuffled_edge_query,17,0.638018,0.784689,-0.146671,0.597955,0.712313,-0.11435799999999996
shuffled_edge_query,37,0.636367,0.785978,-0.14961099999999994,0.576823,0.713763,-0.13694000000000006
