accuracy,auc,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.557827,0.584592,1,0.71873,1.0,0.584592,0.738632,0.0
0.577739,0.620089,2,0.675703,1.0,0.620089,0.67186,0.0
0.620919,0.676622,3,0.639407,1.0,0.676622,0.629849,0.0
0.628853,0.692891,4,0.629966,1.0,0.692891,0.597249,0.0
0.664861,0.724264,5,0.614739,1.0,0.724264,0.571996,0.0
0.674092,0.745108,6,0.610416,1.0,0.745108,0.542893,0.0
0.69263,0.761215,7,0.591408,1.0,0.761215,0.523803,0.0
0.693393,0.77228,8,0.592466,1.0,0.77228,0.49515,0.0
0.703692,0.779115,9,0.578368,1.0,0.779115,0.469664,0.0
0.713763,0.785978,10,0.612914,1.0,0.785978,0.451467,0.0
