accuracy,auc,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.576518,0.603505,1,0.705148,0.915689,0.603505,0.744823,3.703907
0.599329,0.643452,2,0.662888,0.931803,0.643452,0.670287,7.807345
0.636024,0.696348,3,0.634457,0.93204,0.696348,0.629764,11.444843
0.654028,0.71924,4,0.627658,0.932045,0.71924,0.596337,13.058022
0.67043,0.736039,5,0.61502,0.931993,0.736039,0.567066,11.919186
0.685536,0.75334,6,0.616594,0.931997,0.75334,0.540168,12.050001
0.696445,0.759977,7,0.605068,0.931938,0.759977,0.515025,10.596331
0.705294,0.770506,8,0.623904,0.931898,0.770506,0.491392,11.07885
0.704379,0.776201,9,0.606798,0.931907,0.776201,0.469799,10.640574
0.717806,0.790601,10,0.60069,0.932005,0.790601,0.449132,12.390078
