accuracy,auc,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.579112,0.617342,0.0,0.063394,1,0.701468,1.0,0.617342,0.739962,0.0
0.642127,0.698383,0.0,0.063437,2,0.633843,1.0,0.698383,0.648461,0.0
0.644873,0.740289,0.0,0.063361,3,0.62295,1.0,0.740289,0.600625,0.0
0.692936,0.762947,0.0,0.063407,4,0.585307,1.0,0.762947,0.565595,0.0
0.712542,0.789316,0.0,0.06341,5,0.564596,1.0,0.789316,0.539612,0.0
0.720247,0.796322,0.0,0.063385,6,0.553047,1.0,0.796322,0.522333,0.0
0.735124,0.813123,0.0,0.063444,7,0.534247,1.0,0.813123,0.499818,0.0
0.729554,0.806744,0.0,0.063389,8,0.549958,1.0,0.806744,0.480871,0.0
0.735658,0.818277,0.0,0.063391,9,0.530974,1.0,0.818277,0.462007,0.0
0.747864,0.82365,0.0,0.063394,10,0.532946,1.0,0.82365,0.439418,0.0
