accuracy,auc,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.573467,0.611639,1,0.698804,1.0,0.611639,0.741912,0.0
0.624046,0.669763,2,0.645804,1.0,0.669763,0.657413,0.0
0.640983,0.705568,3,0.627053,1.0,0.705568,0.61231,0.0
0.666692,0.730691,4,0.608829,1.0,0.730691,0.577412,0.0
0.675313,0.747088,5,0.611534,1.0,0.747088,0.545441,0.0
0.701175,0.771179,6,0.588913,1.0,0.771179,0.520427,0.0
0.703082,0.780086,7,0.59354,1.0,0.780086,0.491339,0.0
0.716051,0.794919,8,0.573936,1.0,0.794919,0.466273,0.0
0.723909,0.807085,9,0.55925,1.0,0.807085,0.44319,0.0
0.735505,0.810685,10,0.572054,1.0,0.810685,0.41844,0.0
