variant,seed,dataset,model,status,train_loss,eval_loss,primary_metric,auc,accuracy,warrant_gate_mean,warrant_logit_mean,edge_warrant_gate_mean,edge_warrant_attention_entropy,warrant_active_blocks,warrant_replacements,elapsed_sec,output_dir
base,7,lastfm,DyGFormer,completed,0.442726,0.60753,0.787479,0.787479,0.721163,,0.0,,,0.0,0.0,48.887338,experiments/edge_query_adapter_ablation/outputs/base/seed_7
generic_qk_warrant,7,lastfm,DyGFormer,completed,0.449132,0.60069,0.790601,0.790601,0.717806,,12.390078,,,3.0,2.0,55.612029,experiments/edge_query_adapter_ablation/outputs/generic_qk_warrant/seed_7
edge_conditioned_warrant,7,lastfm,DyGFormer,completed,0.421726,0.391029,0.897353,0.897353,0.836054,,10.397909,0.999996,2.567436,4.0,2.0,57.587785,experiments/edge_query_adapter_ablation/outputs/edge_conditioned_warrant/seed_7
handcrafted_only_control,7,lastfm,DyGFormer,completed,0.439418,0.532946,0.82365,0.82365,0.747864,,0.0,0.063394,0.0,0.0,0.0,49.798062,experiments/edge_query_adapter_ablation/outputs/handcrafted_only_control/seed_7
param_control,7,lastfm,DyGFormer,completed,0.41844,0.572054,0.810685,0.810685,0.735505,,0.0,,,0.0,0.0,50.236541,experiments/edge_query_adapter_ablation/outputs/param_control/seed_7
shuffled_edge_query,7,lastfm,DyGFormer,completed,0.427164,0.869304,0.638553,0.638553,0.578959,,10.329576,0.999995,2.585047,4.0,2.0,60.598295,experiments/edge_query_adapter_ablation/outputs/shuffled_edge_query/seed_7
base,17,lastfm,DyGFormer,completed,0.444157,0.608858,0.784689,0.784689,0.712313,,0.0,,,0.0,0.0,48.990338,experiments/edge_query_adapter_ablation/outputs/base/seed_17
generic_qk_warrant,17,lastfm,DyGFormer,completed,0.442596,0.592807,0.790366,0.790366,0.718035,,12.660502,,,3.0,2.0,55.599493,experiments/edge_query_adapter_ablation/outputs/generic_qk_warrant/seed_17
edge_conditioned_warrant,17,lastfm,DyGFormer,completed,0.423259,0.399138,0.895425,0.895425,0.825984,,10.793274,0.999998,2.657845,4.0,2.0,57.832312,experiments/edge_query_adapter_ablation/outputs/edge_conditioned_warrant/seed_17
handcrafted_only_control,17,lastfm,DyGFormer,completed,0.452761,0.547256,0.813774,0.813774,0.733598,,0.0,0.063401,0.0,0.0,0.0,49.811127,experiments/edge_query_adapter_ablation/outputs/handcrafted_only_control/seed_17
param_control,17,lastfm,DyGFormer,completed,0.42634,0.593569,0.80043,0.80043,0.725053,,0.0,,,0.0,0.0,50.323466,experiments/edge_query_adapter_ablation/outputs/param_control/seed_17
shuffled_edge_query,17,lastfm,DyGFormer,completed,0.423302,0.859186,0.638018,0.638018,0.597955,,10.781475,0.999998,2.609274,4.0,2.0,60.671754,experiments/edge_query_adapter_ablation/outputs/shuffled_edge_query/seed_17
base,37,lastfm,DyGFormer,completed,0.451467,0.612914,0.785978,0.785978,0.713763,,0.0,,,0.0,0.0,48.994251,experiments/edge_query_adapter_ablation/outputs/base/seed_37
generic_qk_warrant,37,lastfm,DyGFormer,completed,0.45228,0.5971,0.790011,0.790011,0.719713,,10.15844,,,3.0,2.0,55.869095,experiments/edge_query_adapter_ablation/outputs/generic_qk_warrant/seed_37
edge_conditioned_warrant,37,lastfm,DyGFormer,completed,0.432693,0.384475,0.901125,0.901125,0.836665,,11.056178,0.999997,2.2989,4.0,2.0,57.727699,experiments/edge_query_adapter_ablation/outputs/edge_conditioned_warrant/seed_37
handcrafted_only_control,37,lastfm,DyGFormer,completed,0.452626,0.533639,0.821793,0.821793,0.747254,,0.0,0.06337,0.0,0.0,0.0,50.524957,experiments/edge_query_adapter_ablation/outputs/handcrafted_only_control/seed_37
param_control,37,lastfm,DyGFormer,completed,0.426477,0.582201,0.810398,0.810398,0.73375,,0.0,,,0.0,0.0,50.430835,experiments/edge_query_adapter_ablation/outputs/param_control/seed_37
shuffled_edge_query,37,lastfm,DyGFormer,completed,0.432241,0.869645,0.636367,0.636367,0.576823,,10.711025,0.999997,2.202578,4.0,2.0,60.692318,experiments/edge_query_adapter_ablation/outputs/shuffled_edge_query/seed_37
