accuracy,auc,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.573924,0.603897,3.462556,0.973963,1,0.704937,0.917065,0.603897,0.743373,3.787393
0.614739,0.660388,2.598051,0.998088,2,0.655858,0.931783,0.660388,0.663405,7.710908
0.622597,0.673604,2.162342,0.99996,3,0.653622,0.932059,0.673604,0.600487,13.667087
0.536695,0.602828,1.990614,0.999994,4,0.903374,0.932059,0.602828,0.522286,14.001799
0.541883,0.601226,2.54187,0.999995,5,0.923659,0.932058,0.601226,0.485195,13.141798
0.549512,0.612846,2.448636,0.999996,6,0.910999,0.932057,0.612846,0.472483,12.573833
0.554623,0.628028,2.473838,0.999996,7,0.902256,0.932056,0.628028,0.457175,12.866331
0.547833,0.613738,2.563804,0.999996,8,0.920459,0.932055,0.613738,0.448403,12.565383
0.572399,0.62462,2.561488,0.999995,9,0.881061,0.931989,0.62462,0.439988,10.283287
0.578959,0.638553,2.585047,0.999995,10,0.869304,0.931997,0.638553,0.427164,10.329576
