domain,dataset,model,seed,example_id,source_row,label,k,full_utility,empty_selected_utility,oracle_utility,oracle_headroom,full_primary,oracle_primary,oracle_subset,attention_shapley_spearman,top_attention_harmful,harmful_item_fraction,sign_reversal_fraction,mean_marginal_spread,mean_abs_pair_interaction,max_abs_pair_interaction,mean_abs_loo_shapley_gap,attention,loo,shapley
ctdg,lastfm,DyGFormer,7,0,8000,1.0,5,-0.23462481796741486,-0.2203683853149414,-0.2203683853149414,0.01425643265247345,0.7908675074577332,0.8022232055664062,0,0.8999999999999998,1.0,1.0,0.0,0.0029228001832962034,0.0007255624979734421,0.0012654513120651245,0.0013674885034561158,"[0.06298951059579849, 0.06292110681533813, 0.06086793169379234, 0.057557448744773865, 0.05459721013903618]","[-0.0036449581384658813, -0.0036892443895339966, -0.00445517897605896, -0.005270570516586304, -0.004033923149108887]","[-0.002073865383863449, -0.00212273250023524, -0.0028072744607925415, -0.00426560640335083, -0.0029869539042313895]"
ctdg,lastfm,DyGFormer,7,1,8001,1.0,5,-0.17969687283039093,-0.15565188229084015,-0.1507999747991562,0.02889689803123474,0.8355234861373901,0.8600196838378906,16,-0.39999999999999997,1.0,1.0,0.8,0.01086423099040985,0.00259818397462368,0.005971804261207581,0.004560503363609314,"[0.1306290477514267, 0.12235748022794724, 0.10291288048028946, 0.08833292871713638, 0.07920020818710327]","[-0.011195704340934753, -0.009810537099838257, -0.007650002837181091, -0.013106048107147217, -0.005085214972496033]","[-0.005897146711746851, -0.004621466994285584, -0.003084916373093923, -0.009524460633595785, -0.0009169998268286386]"
ctdg,lastfm,DyGFormer,7,2,8002,1.0,5,-0.23487511277198792,-0.22408443689346313,-0.22288814187049866,0.011986970901489258,0.7906695604324341,0.8002043962478638,2,0.6,1.0,1.0,0.4,0.0034152507781982423,0.0008457776159048081,0.0014289319515228271,0.0015735656023025506,"[0.07441817224025726, 0.06457886844873428, 0.06453961133956909, 0.056162115186452866, 0.05344528704881668]","[-0.004277810454368591, -0.0026579201221466064, -0.0026762783527374268, -0.0047942399978637695, -0.004252254962921143]","[-0.002749969810247422, -0.0008720484872659048, -0.0008924034734567007, -0.0033542056878407803, -0.0029220484197139745]"
ctdg,lastfm,DyGFormer,7,3,8003,1.0,5,-0.26083093881607056,-0.23021046817302704,-0.22123725712299347,0.03959368169307709,0.7704111337661743,0.8015264868736267,4,0.49999999999999994,1.0,1.0,0.6,0.01640501320362091,0.003981156647205353,0.008827880024909973,0.007087379693984985,"[0.109562948346138, 0.10702759027481079, 0.10247602313756943, 0.07922794669866562, 0.07671249657869339]","[-0.011036708950996399, -0.00994950532913208, -0.009618878364562988, -0.018110081553459167, -0.01734219491481781]","[-0.00264616459608078, -0.002250893910725911, -0.0015540013710657755, -0.012402131160100303, -0.01176727960507075]"
ctdg,lastfm,DyGFormer,7,4,8004,1.0,5,-0.24180114269256592,-0.22374653816223145,-0.22374653816223145,0.018054604530334473,0.7852122783660889,0.7995177507400513,0,0.9999999999999999,1.0,1.0,0.0,0.0032698065042495728,0.0008123245090246201,0.0012843608856201172,0.0015411078929901123,"[0.06255868822336197, 0.062480222433805466, 0.06031283736228943, 0.057628314942121506, 0.054963815957307816]","[-0.004322931170463562, -0.004370957612991333, -0.005178317427635193, -0.005746528506278992, -0.006141409277915955]","[-0.0026132933795452117, -0.002665083607037862, -0.0034126810729503635, -0.00461183711886406, -0.004751709351936976]"
ctdg,lastfm,DyGFormer,7,5,8005,1.0,5,-0.1297438144683838,-0.3375357389450073,-0.1278894543647766,0.0018543601036071777,0.8783203959465027,0.8799506425857544,23,0.3,0.0,0.0,0.2,0.10668005645275117,0.023356649838387967,0.06763216853141785,0.036283084750175484,"[0.13664013147354126, 0.133093923330307, 0.12856680154800415, 0.12730751931667328, 0.10280335694551468]","[0.005919963121414185, 0.004194244742393494, 0.009808838367462158, -0.0018543601036071777, 0.008307814598083496]","[0.044653878609339406, 0.04138726964592934, 0.04923030833403269, 0.030425754437843955, 0.042094713449478155]"
ctdg,lastfm,DyGFormer,7,6,8006,1.0,5,-0.23362500965595245,-0.22096121311187744,-0.22029606997966766,0.01332893967628479,0.7916586399078369,0.8022812604904175,2,0.7,1.0,1.0,0.4,0.0032710790634155273,0.0008116289973258972,0.0012768954038619995,0.0015252768993377682,"[0.07181763648986816, 0.061466511338949203, 0.06143100559711456, 0.05553177371621132, 0.05377374216914177]","[-0.004383936524391174, -0.0029300451278686523, -0.0029475390911102295, -0.00491960346698761, -0.005109056830406189]","[-0.002920099596182506, -0.0012484277288118998, -0.0012674366434415182, -0.003510323415199916, -0.0037175091604391736]"
ctdg,lastfm,DyGFormer,7,7,8007,1.0,5,-0.20525553822517395,-0.15009108185768127,-0.1491570770740509,0.05609846115112305,0.8144391775131226,0.8614338040351868,8,-0.8999999999999998,1.0,1.0,0.2,0.01241266131401062,0.0030327893793582915,0.005257099866867065,0.005596938729286193,"[0.09881611913442612, 0.09832825511693954, 0.08901745080947876, 0.0876268520951271, 0.08586503565311432]","[-0.022066622972488403, -0.02181956171989441, -0.016152188181877136, -0.011046886444091797, -0.0120638906955719]","[-0.016048784305651983, -0.01581983417272568, -0.010785162697235742, -0.005692277352015178, -0.006818397839864095]"
ctdg,lastfm,DyGFormer,7,8,8008,1.0,5,-0.8680866956710815,-0.7723598480224609,-0.768496036529541,0.09959065914154053,0.41975390911102295,0.46370992064476013,16,-0.6,1.0,0.8,0.0,0.004602015018463135,0.0011487483978271484,0.002218902111053467,0.002234172821044922,"[0.08512341231107712, 0.08509811013936996, 0.0797363743185997, 0.07715586572885513, 0.07577687501907349]","[-0.019931375980377197, -0.019943594932556152, -0.031436026096343994, -0.017442524433135986, 0.004197537899017334]","[-0.022264041503270465, -0.022276762127876285, -0.03496107260386149, -0.020111141602198283, 0.0038861701885859177]"
ctdg,lastfm,DyGFormer,7,9,8009,1.0,5,-1.4900315999984741,-1.6508982181549072,-1.4546157121658325,0.0354158878326416,0.2253655344247818,0.23349009454250336,7,0.8999999999999998,0.0,0.4,0.6,0.04181027412414551,0.010417106747627258,0.0309140682220459,0.019074797630310062,"[0.1506272405385971, 0.10405386984348297, 0.07395453006029129, 0.07158457487821579, 0.06231735274195671]","[0.09839677810668945, 0.0044678449630737305, -0.0005401372909545898, -0.02144312858581543, -0.015388727188110352]","[0.13173486789067587, 0.02561551332473755, 0.01748074094454448, -0.007936765750249227, -0.006027738253275553]"
