domain,probe,seed,train_examples,test_examples,test_rows,parameters,rmse,mae,r2,pearson,spearman,sign_accuracy,harmful_auc
ctdg,local,7,104,32,2560,86785,0.02382168173789978,0.016052689403295517,-0.46805802178527456,0.0455487049486728,0.07215925773473626,0.56328125,0.5660129752625885
ctdg,set_aware,7,104,32,2560,86785,0.02617574669420719,0.01714593730866909,-0.7725421695165173,-0.016719106827665194,-0.029142611757887297,0.561328125,0.5373386305967509
ctdg,shuffled_set,7,104,32,2560,86785,0.02466142550110817,0.01699458621442318,-0.5733839937742591,0.03212483491206658,0.05505047680331762,0.587109375,0.5450191570881227
ctdg,counterfactual,7,104,32,2560,43393,0.02439628727734089,0.016389746218919754,-0.5397346350207566,0.13293929540233995,0.12555041154913205,0.61640625,0.5744314792911371
ctdg,local,17,104,32,2560,86785,0.023872310295701027,0.016142550855875015,-0.10599680461780525,0.25242006652514537,0.26085807506549474,0.667578125,0.6776764096662831
ctdg,set_aware,17,104,32,2560,86785,0.023736970499157906,0.0157526433467865,-0.09349190531192741,0.29481459263622595,0.24537186828087143,0.644140625,0.6461747602608362
ctdg,shuffled_set,17,104,32,2560,86785,0.024034542962908745,0.017178475856781006,-0.12108029547751031,0.3194757916892719,0.19875545220159316,0.618359375,0.6325146144994246
ctdg,counterfactual,17,104,32,2560,43393,0.023902222514152527,0.016191424801945686,-0.10877014838130195,0.3629078459254307,0.3001338599901428,0.62890625,0.6937782892213272
ctdg,local,37,104,32,2560,86785,0.03414229676127434,0.024579869583249092,0.0001167915212231252,0.2266425391031082,0.2885356210895052,0.646484375,0.6902523307385393
ctdg,set_aware,37,104,32,2560,86785,0.0359797403216362,0.025405410677194595,-0.11040097996234555,0.1982106004680159,0.14177384099263393,0.59765625,0.6211656289963909
ctdg,shuffled_set,37,104,32,2560,86785,0.03536534309387207,0.025778740644454956,-0.07280193883511399,0.1407526591535095,0.1376314731967435,0.53984375,0.6090744203764308
ctdg,counterfactual,37,104,32,2560,43393,0.03395947068929672,0.02186719700694084,0.01079650539318,0.26801490201885486,0.314577880101263,0.69375,0.7255393040806786
rag,local,7,104,32,2484,74497,0.12833988666534424,0.09400080144405365,0.007332118856570369,0.28788899457093275,0.2059936885206754,0.572061191626409,0.5725840669550534
rag,set_aware,7,104,32,2484,74497,0.12878210842609406,0.09311661124229431,0.0004793305254690017,0.2655896534403751,0.21792823128335936,0.5700483091787439,0.6006545076755722
rag,shuffled_set,7,104,32,2484,74497,0.12751972675323486,0.09139405936002731,0.01997898497989714,0.2642746580166879,0.2006081485538277,0.5768921095008052,0.5760518105199628
rag,counterfactual,7,104,32,2484,37249,0.1265733242034912,0.0933479517698288,0.03447153740152509,0.3059652379246299,0.22429384098039507,0.572061191626409,0.5701888113209884
rag,local,17,104,32,2560,74497,0.16519516706466675,0.11704067885875702,0.07008236997727102,0.27087122242376827,0.26015265111983765,0.565625,0.5958826255713905
rag,set_aware,17,104,32,2560,74497,0.16376981139183044,0.11518337577581406,0.08606037242331688,0.29364455390430355,0.2786762076763582,0.592578125,0.6173579197350754
rag,shuffled_set,17,104,32,2560,74497,0.16472983360290527,0.11544644832611084,0.07531385724642836,0.2792003826230716,0.30016870952477914,0.617578125,0.6270642207444402
rag,counterfactual,17,104,32,2560,37249,0.1621467024087906,0.11346708238124847,0.10408652945344399,0.3480042594996689,0.33844954046286174,0.632421875,0.6606032220431383
rag,local,37,104,32,2560,74497,0.1592043936252594,0.11393220722675323,0.07056242605509666,0.29242346447302686,0.21483266294663741,0.53359375,0.5324523639819435
rag,set_aware,37,104,32,2560,74497,0.1558089554309845,0.11300351470708847,0.10978489013697112,0.3498881822030966,0.2611219313167855,0.54140625,0.555728518254534
rag,shuffled_set,37,104,32,2560,74497,0.15692202746868134,0.11210332065820694,0.09702041245437076,0.3315975774999339,0.21144191118720196,0.503515625,0.5344392175496951
rag,counterfactual,37,104,32,2560,37249,0.15998032689094543,0.11215362697839737,0.06148063132582049,0.2775037741371602,0.2716988032566982,0.571875,0.5917814207650273
