accuracy,auc,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.588469,0.613917,1,0.712899,1.0,0.613917,0.733571,0.0
0.604942,0.651614,2,0.672411,1.0,0.651614,0.669698,0.0
0.622941,0.666373,3,0.663901,1.0,0.666373,0.631104,0.0
0.647346,0.698072,4,0.633039,1.0,0.698072,0.598777,0.0
0.654362,0.728964,5,0.60996,1.0,0.728964,0.56866,0.0
0.680903,0.754696,6,0.581548,1.0,0.754696,0.536732,0.0
0.675412,0.757882,7,0.576714,1.0,0.757882,0.49495,0.0
0.693411,0.767354,8,0.576247,1.0,0.767354,0.470997,0.0
0.700427,0.77138,9,0.599576,1.0,0.77138,0.439997,0.0
0.712935,0.777901,10,0.595467,1.0,0.777901,0.40926,0.0
