counterpart_attention_mass,counterpart_evidence_present,counterpart_warrant_mass,label,non_counterpart_warrant_mass,sample_id,score
0.0,False,0.0,1.0,0.0,6553,0.21907395124435425
0.0,True,0.0,1.0,0.0,6554,0.5935675501823425
0.0,True,0.0,1.0,0.0,6555,0.9654673337936401
0.0,True,0.0,1.0,0.0,6556,0.7689458727836609
0.0,True,0.0,1.0,0.0,6557,0.9832627773284912
0.0,True,0.0,1.0,0.0,6558,0.9030265212059021
0.0,False,0.0,1.0,0.0,6559,0.33717575669288635
0.0,True,0.0,1.0,0.0,6560,0.9815714955329895
0.0,False,0.0,1.0,0.0,6561,0.36951562762260437
0.0,False,0.0,1.0,0.0,6562,0.15089328587055206
0.0,False,0.0,1.0,0.0,6563,0.8324229121208191
0.0,True,0.0,1.0,0.0,6564,0.3728531002998352
0.0,False,0.0,1.0,0.0,6565,0.4109555780887604
0.0,False,0.0,1.0,0.0,6566,0.05812859162688255
0.0,False,0.0,1.0,0.0,6567,0.598743736743927
0.0,False,0.0,1.0,0.0,6568,0.10098423063755035
0.0,True,0.0,1.0,0.0,6569,0.5774744749069214
0.0,False,0.0,1.0,0.0,6570,0.26306968927383423
0.0,False,0.0,1.0,0.0,6571,0.2615148723125458
0.0,False,0.0,1.0,0.0,6572,0.15876305103302002
0.0,False,0.0,1.0,0.0,6573,0.42308416962623596
0.0,True,0.0,1.0,0.0,6574,0.6550984382629395
0.0,False,0.0,1.0,0.0,6575,0.09954900294542313
0.0,True,0.0,1.0,0.0,6576,0.9862160682678223
0.0,False,0.0,1.0,0.0,6577,0.23181986808776855
0.0,True,0.0,1.0,0.0,6578,0.6424532532691956
0.0,True,0.0,1.0,0.0,6579,0.9126678109169006
0.0,True,0.0,1.0,0.0,6580,0.4213758111000061
0.0,True,0.0,1.0,0.0,6581,0.7269449234008789
0.0,False,0.0,1.0,0.0,6582,0.1715829223394394
0.0,True,0.0,1.0,0.0,6583,0.9396255016326904
0.0,True,0.0,1.0,0.0,6584,0.041379429399967194
0.0,True,0.0,1.0,0.0,6585,0.7551228404045105
0.0,True,0.0,1.0,0.0,6586,0.9663482308387756
0.0,True,0.0,1.0,0.0,6587,0.1265760362148285
0.0,True,0.0,1.0,0.0,6588,0.04407547414302826
0.0,True,0.0,1.0,0.0,6589,0.4377201497554779
0.0,True,0.0,1.0,0.0,6590,0.5160322785377502
0.0,False,0.0,1.0,0.0,6591,0.776375949382782
0.0,False,0.0,1.0,0.0,6592,0.11970492452383041
0.0,True,0.0,1.0,0.0,6593,0.9834708571434021
0.0,True,0.0,1.0,0.0,6594,0.9811645746231079
0.0,True,0.0,1.0,0.0,6595,0.9516425132751465
0.0,False,0.0,1.0,0.0,6596,0.48163101077079773
0.0,True,0.0,1.0,0.0,6597,0.9571612477302551
0.0,False,0.0,1.0,0.0,6598,0.10146062821149826
0.0,True,0.0,1.0,0.0,6599,0.22643204033374786
0.0,False,0.0,1.0,0.0,6600,0.2747883200645447
0.0,True,0.0,1.0,0.0,6601,0.9865139126777649
0.0,False,0.0,1.0,0.0,6602,0.13160067796707153
0.0,True,0.0,1.0,0.0,6603,0.5141974687576294
0.0,False,0.0,1.0,0.0,6604,0.9261113405227661
0.0,False,0.0,1.0,0.0,6605,0.11955640465021133
0.0,True,0.0,1.0,0.0,6606,0.9662657380104065
0.0,True,0.0,1.0,0.0,6607,0.8489791750907898
0.0,True,0.0,1.0,0.0,6608,0.8087638020515442
0.0,True,0.0,1.0,0.0,6609,0.7213240265846252
0.0,True,0.0,1.0,0.0,6610,0.6790788173675537
0.0,True,0.0,1.0,0.0,6611,0.9673786163330078
0.0,True,0.0,1.0,0.0,6612,0.878922700881958
0.0,True,0.0,1.0,0.0,6613,0.8481408357620239
0.0,True,0.0,1.0,0.0,6614,0.724989652633667
0.0,True,0.0,1.0,0.0,6615,0.9625364542007446
0.0,True,0.0,1.0,0.0,6616,0.9855800867080688
0.0,False,0.0,1.0,0.0,6617,0.05731502175331116
0.0,True,0.0,1.0,0.0,6618,0.6087237000465393
0.0,True,0.0,1.0,0.0,6619,0.7914844155311584
0.0,False,0.0,1.0,0.0,6620,0.6365144848823547
0.0,False,0.0,1.0,0.0,6621,0.2957153618335724
0.0,False,0.0,1.0,0.0,6622,0.8691912889480591
0.0,False,0.0,1.0,0.0,6623,0.617730975151062
0.0,False,0.0,1.0,0.0,6624,0.08690448850393295
0.0,False,0.0,1.0,0.0,6625,0.24853570759296417
0.0,False,0.0,1.0,0.0,6626,0.3532586991786957
0.0,False,0.0,1.0,0.0,6627,0.44934535026550293
0.0,False,0.0,1.0,0.0,6628,0.4208400547504425
0.0,True,0.0,1.0,0.0,6629,0.9753565788269043
0.0,True,0.0,1.0,0.0,6630,0.9850994944572449
0.0,True,0.0,1.0,0.0,6631,0.9565235376358032
0.0,True,0.0,1.0,0.0,6632,0.9655866026878357
0.0,True,0.0,1.0,0.0,6633,0.9623410105705261
0.0,False,0.0,1.0,0.0,6634,0.7348783016204834
0.0,True,0.0,1.0,0.0,6635,0.9755659699440002
0.0,False,0.0,1.0,0.0,6636,0.40726304054260254
0.0,True,0.0,1.0,0.0,6637,0.37206438183784485
0.0,False,0.0,1.0,0.0,6638,0.34631386399269104
0.0,False,0.0,1.0,0.0,6639,0.7385239005088806
0.0,False,0.0,1.0,0.0,6640,0.1450604647397995
0.0,False,0.0,1.0,0.0,6641,0.18672212958335876
0.0,False,0.0,1.0,0.0,6642,0.11992643028497696
0.0,False,0.0,1.0,0.0,6643,0.49097710847854614
0.0,True,0.0,1.0,0.0,6644,0.9654093384742737
0.0,False,0.0,1.0,0.0,6645,0.06530889123678207
0.0,True,0.0,1.0,0.0,6646,0.36167505383491516
0.0,True,0.0,1.0,0.0,6647,0.9787084460258484
0.0,True,0.0,1.0,0.0,6648,0.9846232533454895
0.0,False,0.0,1.0,0.0,6649,0.026987247169017792
0.0,True,0.0,1.0,0.0,6650,0.08621644228696823
0.0,True,0.0,1.0,0.0,6651,0.7827467322349548
0.0,True,0.0,1.0,0.0,6652,0.7636245489120483
0.0,True,0.0,1.0,0.0,6653,0.7802777886390686
0.0,True,0.0,1.0,0.0,6654,0.8688076734542847
0.0,True,0.0,1.0,0.0,6655,0.8874714374542236
0.0,True,0.0,1.0,0.0,6656,0.6771698594093323
0.0,True,0.0,1.0,0.0,6657,0.6349061131477356
0.0,True,0.0,1.0,0.0,6658,0.9633975625038147
0.0,True,0.0,1.0,0.0,6659,0.9778044819831848
0.0,True,0.0,1.0,0.0,6660,0.9672675132751465
0.0,True,0.0,1.0,0.0,6661,0.7578855752944946
0.0,True,0.0,1.0,0.0,6662,0.9504300951957703
0.0,True,0.0,1.0,0.0,6663,0.9559184908866882
0.0,False,0.0,1.0,0.0,6664,0.11797776818275452
0.0,False,0.0,1.0,0.0,6665,0.11777085810899734
0.0,True,0.0,1.0,0.0,6666,0.5132834315299988
0.0,False,0.0,1.0,0.0,6667,0.666300356388092
0.0,True,0.0,1.0,0.0,6668,0.9652751684188843
0.0,True,0.0,1.0,0.0,6669,0.24687017500400543
0.0,True,0.0,1.0,0.0,6670,0.975461483001709
0.0,True,0.0,1.0,0.0,6671,0.9846740961074829
0.0,True,0.0,1.0,0.0,6672,0.937179446220398
0.0,True,0.0,1.0,0.0,6673,0.7329543232917786
0.0,True,0.0,1.0,0.0,6674,0.9562979340553284
0.0,True,0.0,1.0,0.0,6675,0.9385397434234619
0.0,True,0.0,1.0,0.0,6676,0.9605196118354797
0.0,True,0.0,1.0,0.0,6677,0.7821787595748901
0.0,True,0.0,1.0,0.0,6678,0.9771324992179871
0.0,True,0.0,1.0,0.0,6679,0.853312611579895
0.0,True,0.0,1.0,0.0,6680,0.9425908327102661
0.0,True,0.0,1.0,0.0,6681,0.8228309154510498
0.0,True,0.0,1.0,0.0,6682,0.5996534824371338
0.0,True,0.0,1.0,0.0,6683,0.7478006482124329
0.0,True,0.0,1.0,0.0,6684,0.7960325479507446
