accuracy,auc,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.59335,0.623337,2.849179,0.962986,1,0.705277,0.841835,0.623337,0.739864,2.686169
0.610128,0.658229,2.755802,0.986267,2,0.672546,0.858886,0.658229,0.671086,3.242411
0.654057,0.712026,2.438312,0.998272,3,0.62572,0.873607,0.712026,0.617797,4.39953
0.685174,0.761818,2.055373,0.999863,4,0.577921,0.878697,0.761818,0.566371,6.368098
0.715375,0.807745,1.868447,0.999978,5,0.537685,0.879136,0.807745,0.51901,7.47348
0.749847,0.844848,1.821309,0.999993,6,0.499309,0.879138,0.844848,0.477781,7.800813
0.776083,0.858478,1.814377,0.999996,7,0.472851,0.878788,0.858478,0.442105,7.534054
0.782489,0.863012,2.025304,0.999997,8,0.456558,0.879101,0.863012,0.405996,8.111537
0.810555,0.888665,1.879858,0.999997,9,0.413814,0.879329,0.888665,0.392622,8.826602
0.824893,0.89553,2.016798,0.999997,10,0.404754,0.879349,0.89553,0.362318,9.006649
