distractor_attention_mass,distractor_warrant_mass,epoch,eval_loss,gate_mean,primary_metric,support_ap,support_attention_mass,support_attention_ratio,support_auc,support_f1,support_mass_ratio,support_mrr,support_precision,support_recall,support_recall_at_1,support_recall_at_2,support_recall_at_5,support_warrant_mass,train_loss,warrant_logit_mean
0.735157,0.735157,1,1.587877,1.0,0.566902,0.549799,0.264843,0.264843,0.558049,0.32902,0.264843,0.566902,0.32902,0.32902,0.336947,0.562092,1.0,0.264843,1.598529,0.0
0.734738,0.734738,2,1.601281,1.0,0.562341,0.544675,0.265262,0.265262,0.549839,0.327331,0.265262,0.562341,0.327331,0.327331,0.336905,0.547515,1.0,0.265262,1.566324,0.0
0.7332,0.7332,3,1.607534,1.0,0.565736,0.545191,0.2668,0.2668,0.55942,0.320279,0.2668,0.565736,0.320279,0.320279,0.339346,0.551407,1.0,0.2668,1.532234,0.0
0.73529,0.73529,4,1.636892,1.0,0.569543,0.551147,0.26471,0.26471,0.558699,0.33066,0.26471,0.569543,0.33066,0.33066,0.346628,0.552872,1.0,0.26471,1.478976,0.0
0.738292,0.738292,5,1.696479,1.0,0.555277,0.537891,0.261708,0.261708,0.540673,0.318271,0.261708,0.555277,0.318271,0.318271,0.325186,0.540162,1.0,0.261708,1.396799,0.0
0.73934,0.73934,6,1.812742,1.0,0.54378,0.530599,0.26066,0.26066,0.533515,0.310358,0.26066,0.54378,0.310358,0.310358,0.30765,0.523618,1.0,0.26066,1.286382,0.0
0.739432,0.739432,7,1.906163,1.0,0.545735,0.533349,0.260568,0.260568,0.530043,0.308254,0.260568,0.545735,0.308254,0.308254,0.309547,0.528012,1.0,0.260568,1.156696,0.0
0.743287,0.743287,8,2.034134,1.0,0.560627,0.545492,0.256713,0.256713,0.543649,0.32313,0.256713,0.560627,0.32313,0.32313,0.329509,0.547975,1.0,0.256713,1.024573,0.0
0.742967,0.742967,9,2.24449,1.0,0.563334,0.545798,0.257033,0.257033,0.546454,0.32335,0.257033,0.563334,0.32335,0.32335,0.331519,0.560656,1.0,0.257033,0.911207,0.0
0.741688,0.741688,10,2.320284,1.0,0.551855,0.53604,0.258312,0.258312,0.539668,0.31524,0.258312,0.551855,0.31524,0.31524,0.315937,0.552858,1.0,0.258312,0.796733,0.0
