distractor_attention_mass,distractor_warrant_mass,epoch,eval_loss,gate_mean,primary_metric,support_ap,support_attention_mass,support_attention_ratio,support_auc,support_f1,support_mass_ratio,support_mrr,support_precision,support_recall,support_recall_at_1,support_recall_at_2,support_recall_at_5,support_warrant_mass,train_loss,warrant_logit_mean
0.734519,0.700984,1,1.588866,0.951474,0.576348,0.559329,0.265481,0.265481,0.560456,0.349933,0.265499,0.576348,0.349933,0.349933,0.359323,0.558703,1.0,0.253384,1.599455,1.712773
0.733424,0.697895,2,1.595782,0.948713,0.56128,0.545232,0.266576,0.266576,0.554448,0.326294,0.266621,0.56128,0.326294,0.326294,0.338384,0.539717,1.0,0.253727,1.5642,1.643243
0.732079,0.69643,3,1.603039,0.948468,0.566595,0.55176,0.267921,0.267921,0.552504,0.333683,0.268054,0.566595,0.333683,0.333683,0.342807,0.547629,1.0,0.255068,1.537138,1.638683
0.733929,0.697153,4,1.645637,0.947077,0.55773,0.541162,0.266071,0.266071,0.541931,0.317971,0.266218,0.55773,0.317971,0.317971,0.330614,0.532966,1.0,0.252954,1.484117,1.605894
0.737543,0.699691,5,1.692021,0.945847,0.558684,0.541638,0.262457,0.262457,0.545032,0.312632,0.262568,0.558684,0.312632,0.312632,0.328116,0.546064,1.0,0.249149,1.410578,1.576381
0.739899,0.701444,6,1.80595,0.944569,0.569668,0.549987,0.260101,0.260101,0.549182,0.327409,0.260218,0.569668,0.327409,0.327409,0.353463,0.540764,1.0,0.246738,1.30457,1.550435
0.738768,0.700345,7,1.832883,0.944318,0.547602,0.532389,0.261232,0.261232,0.540331,0.302607,0.261411,0.547602,0.302607,0.302607,0.311571,0.533857,1.0,0.247883,1.184647,1.549346
0.741123,0.701966,8,2.009427,0.942527,0.553548,0.53684,0.258877,0.258877,0.548993,0.312754,0.259064,0.553548,0.312754,0.312754,0.322759,0.531918,1.0,0.245421,1.047072,1.51676
0.740739,0.703985,9,2.086854,0.946216,0.546475,0.531824,0.259261,0.259261,0.545969,0.300793,0.25947,0.546475,0.300793,0.300793,0.30765,0.537233,1.0,0.246663,0.923909,1.605225
0.743039,0.701452,10,2.227822,0.938131,0.563149,0.544521,0.256961,0.256961,0.551176,0.316727,0.257305,0.563149,0.316727,0.316727,0.332941,0.550862,1.0,0.242999,0.813697,1.453869
