domain,dataset,model,variant,seed,status,train_loss,eval_loss,primary_metric,metric_name,auc,mrr,support_mrr,accuracy,evidence_present_rate,evidence_attention_mass,evidence_warrant_mass,non_evidence_warrant_mass,counterfactual_zero_evidence_metric,counterfactual_zero_non_evidence_metric,metric_drop_zero_evidence,metric_drop_zero_non_evidence,warrant_active_blocks,warrant_replacements,elapsed_sec,output_dir
ctdg,lastfm,DyGFormer,base,7,completed,0.40926,0.583022,0.788233,auc,0.788233,,,0.722087,0.400244,0.0,0.0,0.0,0.788233,0.788233,0.0,0.0,0.0,0.0,8.118359,experiments/mass_diagnostic/outputs/ctdg/base/seed_7
ctdg,lastfm,DyGFormer,warrant,7,completed,0.364072,0.401045,0.895401,auc,0.895401,,,0.83252,0.400244,0.604107,0.604104,1.383376,0.841965,0.873675,0.053436,0.021726,4.0,2.0,8.864916,experiments/mass_diagnostic/outputs/ctdg/warrant/seed_7
rag,hotpotqa,FiD,base,7,completed,0.796733,2.320284,0.551855,support_mrr,,,0.551855,,1.0,0.256337,0.256337,0.743663,0.553309,0.549584,-0.001454,0.002271,0.0,0.0,65.775846,experiments/mass_diagnostic/outputs/rag/base/seed_7
rag,hotpotqa,FiD,warrant,7,completed,0.796652,2.323855,0.554281,support_mrr,,,0.554281,,1.0,0.256875,0.242186,0.699306,0.550757,0.557446,0.003524,-0.003166,1.0,0.0,65.786416,experiments/mass_diagnostic/outputs/rag/warrant/seed_7
tkg,gdelt,xERTE,base,7,completed,8.616463,9.05839,0.075977,mrr,,0.075977,,,0.344722,0.013234,0.013234,0.986766,0.075977,0.075977,0.0,0.0,0.0,0.0,8.095803,experiments/mass_diagnostic/outputs/tkg/base/seed_7
tkg,gdelt,xERTE,warrant,7,completed,7.660381,8.366026,0.119778,mrr,,0.119778,,,0.344722,0.085954,0.0798,0.848033,0.001075,0.341206,0.118704,-0.221427,2.0,0.0,5.769899,experiments/mass_diagnostic/outputs/tkg/warrant/seed_7
ctdg,lastfm,DyGFormer,base,17,completed,0.414926,0.588905,0.789204,auc,0.789204,,,0.705613,0.411226,0.0,0.0,0.0,0.789204,0.789204,0.0,0.0,0.0,0.0,8.077415,experiments/mass_diagnostic/outputs/ctdg/base/seed_17
ctdg,lastfm,DyGFormer,warrant,17,completed,0.362318,0.431786,0.88318,auc,0.88318,,,0.813911,0.411226,0.587855,0.587854,1.400243,0.817803,0.863491,0.065377,0.01969,4.0,2.0,8.866165,experiments/mass_diagnostic/outputs/ctdg/warrant/seed_17
rag,hotpotqa,FiD,base,17,completed,0.772818,2.447337,0.540541,support_mrr,,,0.540541,,1.0,0.259006,0.259006,0.740994,0.545513,0.53758,-0.004972,0.002961,0.0,0.0,65.704937,experiments/mass_diagnostic/outputs/rag/base/seed_17
rag,hotpotqa,FiD,warrant,17,completed,0.772882,2.44627,0.540713,support_mrr,,,0.540713,,1.0,0.258961,0.240913,0.686711,0.539329,0.54347,0.001383,-0.002757,1.0,0.0,65.42201,experiments/mass_diagnostic/outputs/rag/warrant/seed_17
tkg,gdelt,xERTE,base,17,completed,8.502533,8.937723,0.085404,mrr,,0.085404,,,0.344722,0.011109,0.011109,0.988891,0.085404,0.085404,0.0,0.0,0.0,0.0,5.605398,experiments/mass_diagnostic/outputs/tkg/base/seed_17
tkg,gdelt,xERTE,warrant,17,completed,7.625676,8.326574,0.116475,mrr,,0.116475,,,0.344722,0.085326,0.084895,0.909698,0.001026,0.342738,0.115449,-0.226263,2.0,0.0,5.693583,experiments/mass_diagnostic/outputs/tkg/warrant/seed_17
ctdg,lastfm,DyGFormer,base,37,completed,0.421154,0.588225,0.790237,auc,0.790237,,,0.714155,0.404515,0.0,0.0,0.0,0.790237,0.790237,0.0,0.0,0.0,0.0,6.219121,experiments/mass_diagnostic/outputs/ctdg/base/seed_37
ctdg,lastfm,DyGFormer,warrant,37,completed,0.374721,0.40846,0.896094,auc,0.896094,,,0.825503,0.404515,0.633944,0.633942,1.353546,0.8425,0.876623,0.053594,0.019471,4.0,2.0,8.667776,experiments/mass_diagnostic/outputs/ctdg/warrant/seed_37
rag,hotpotqa,FiD,base,37,completed,0.813715,2.227216,0.56091,support_mrr,,,0.56091,,1.0,0.255896,0.255896,0.744104,0.565253,0.557373,-0.004343,0.003536,0.0,0.0,65.88131,experiments/mass_diagnostic/outputs/rag/base/seed_37
rag,hotpotqa,FiD,warrant,37,completed,0.813697,2.227822,0.563149,support_mrr,,,0.563149,,1.0,0.256439,0.242484,0.702086,0.559001,0.56737,0.004148,-0.004221,1.0,0.0,65.8855,experiments/mass_diagnostic/outputs/rag/warrant/seed_37
tkg,gdelt,xERTE,base,37,completed,8.496363,9.049331,0.081182,mrr,,0.081182,,,0.344722,0.009428,0.009428,0.990572,0.081182,0.081182,0.0,0.0,0.0,0.0,5.438193,experiments/mass_diagnostic/outputs/tkg/base/seed_37
tkg,gdelt,xERTE,warrant,37,completed,7.631353,8.397785,0.115602,mrr,,0.115602,,,0.344722,0.083303,0.07993,0.878479,0.001081,0.341554,0.114521,-0.225952,2.0,0.0,5.627394,experiments/mass_diagnostic/outputs/tkg/warrant/seed_37
