accuracy,epoch,eval_loss,gate_mean,mrr,primary_metric,train_loss,warrant_logit_mean,warrant_tail_mass_mean
0.00061,1,14.25109,1.0,0.002896,0.002896,21.048246,0.0,0.0
0.00122,2,11.608315,1.0,0.00686,0.00686,13.578141,0.0,0.0
0.023185,3,10.534034,1.0,0.028883,0.028883,11.378631,0.0,0.0
0.027456,4,10.005079,1.0,0.034579,0.034579,10.343018,0.0,0.0
0.041489,5,9.682706,1.0,0.048438,0.048438,9.788893,0.0,0.0
0.053691,6,9.441766,1.0,0.059553,0.059553,9.408593,0.0,0.0
0.060403,7,9.282468,1.0,0.068466,0.068466,9.098633,0.0,0.0
0.063453,8,9.145601,1.0,0.073996,0.073996,8.872275,0.0,0.0
0.068944,9,9.032617,1.0,0.080285,0.080285,8.65878,0.0,0.0
0.073215,10,8.937723,1.0,0.085404,0.085404,8.502533,0.0,0.0
