accuracy,epoch,eval_loss,gate_mean,mrr,primary_metric,train_loss,warrant_logit_mean,warrant_tail_mass_mean
0.026236,1,13.451416,0.951349,0.051943,0.051943,19.981552,2.899593,1.0
0.066504,2,10.829176,0.96037,0.094041,0.094041,12.393257,3.09339,1.0
0.081757,3,9.828352,0.971308,0.108239,0.108239,10.288734,3.355706,1.0
0.076266,4,9.249383,0.972463,0.108432,0.108432,9.385086,3.343003,1.0
0.083588,5,8.958081,0.970028,0.114785,0.114785,8.798166,3.303969,1.0
0.087248,6,8.792497,0.964731,0.118021,0.118021,8.45253,3.184265,1.0
0.086638,7,8.637162,0.957166,0.11977,0.11977,8.212964,3.001822,1.0
0.084808,8,8.508501,0.950007,0.120601,0.120601,7.975286,2.845125,1.0
0.082367,9,8.421651,0.943067,0.120081,0.120081,7.831005,2.730443,1.0
0.081147,10,8.366026,0.928498,0.119778,0.119778,7.660381,2.459784,1.0
