domain,dataset,model,variant,seeds,stpp_revisit_rate_mean,stpp_revisit_rate_std,stpp_rmse_revisit_mean,stpp_rmse_revisit_std,stpp_rmse_new_place_mean,stpp_rmse_new_place_std,stpp_rmse_short_move_mean,stpp_rmse_short_move_std,stpp_rmse_long_move_mean,stpp_rmse_long_move_std,stpp_attention_prior_rmse_mean,stpp_attention_prior_rmse_std,stpp_warrant_prior_rmse_mean,stpp_warrant_prior_rmse_std,stpp_prior_rmse_delta_mean,stpp_prior_rmse_delta_std,stpp_useful_gate_mean_mean,stpp_useful_gate_mean_std,stpp_nonuseful_gate_mean_mean,stpp_nonuseful_gate_mean_std,stpp_useful_mass_retention_mean,stpp_useful_mass_retention_std,stpp_nonuseful_mass_retention_mean,stpp_nonuseful_mass_retention_std,stpp_false_suppression_index_mean,stpp_false_suppression_index_std,tkg_true_tail_seen_rate_mean,tkg_true_tail_seen_rate_std,tkg_mrr_seen_mean,tkg_mrr_seen_std,tkg_mrr_unseen_mean,tkg_mrr_unseen_std,tkg_copy_gate_mean_seen_mean,tkg_copy_gate_mean_seen_std,tkg_copy_gate_mean_unseen_mean,tkg_copy_gate_mean_unseen_std,tkg_true_copy_mass_attention_mean,tkg_true_copy_mass_attention_std,tkg_true_copy_mass_warrant_mean,tkg_true_copy_mass_warrant_std,tkg_false_top_copy_mass_attention_mean,tkg_false_top_copy_mass_attention_std,tkg_false_top_copy_mass_warrant_mean,tkg_false_top_copy_mass_warrant_std,tkg_true_copy_retention_mean,tkg_true_copy_retention_std,tkg_false_copy_retention_mean,tkg_false_copy_retention_std,tkg_copy_saturation_attention_mean,tkg_copy_saturation_attention_std,tkg_copy_saturation_warrant_mean,tkg_copy_saturation_warrant_std
stpp,gowalla,DeepSTPP,base,3,0.052961,0.0,0.034422,0.01081760486429413,0.04344833333333333,0.004717175991346234,0.03246266666666667,0.004983146529386162,0.053477666666666666,0.0051014949116247625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stpp,gowalla,DeepSTPP,correct_path_warrant,3,0.052961,0.0,0.037349,0.010265369403971781,0.044397,0.009572068794153125,0.04121533333333333,0.007090231401959553,0.046832000000000006,0.01243657095022579,0.021653999999999996,0.0011240467072146062,0.02165133333333333,0.0011187422997872795,-2.6666666666666664e-06,8.504900548115382e-06,0.9031393333333333,0.02036603433006373,0.6245843333333333,0.013946910924406652,0.9060396666666666,0.019814296892227384,0.6275653333333334,0.013162160017768123,-0.2784746666666667,0.006702280532276561,,,,,,,,,,,,,,,,,,,,,,,,,,
stpp,gowalla,DeepSTPP,generic_qk_warrant,3,0.052961,0.0,0.03451233333333333,0.004442757064406439,0.04463533333333333,0.004178333320037228,0.033973333333333335,0.0047814813952721125,0.054224666666666664,0.0037790464846748496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stpp,gowalla,DeepSTPP,open_path_no_gate,3,0.052961,0.0,0.05295533333333333,0.02339797868050429,0.05849766666666667,0.019485757422623668,0.048680333333333325,0.0211369638863611,0.06772866666666666,0.018252222503939985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stpp,gowalla,DeepSTPP,shuffled_pairing,3,0.0,0.0,,,1.6357210000000002,0.015741916147661305,0.7461893333333333,0.007613808661460654,2.525252666666667,0.023871029435978176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tkg,icews18,CyGNet,base,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.283333,0.0,0.284134,0.0031148680549904456,0.011455333333333333,0.0002971469894401316,0.9999373333333333,6.658328118501337e-06,0.999931,6.557438524270464e-06,0.017610333333333335,0.0005563311364046895,0.017610333333333335,0.0005563311364046895,0.15645366666666666,0.0074085823430217294,0.15645366666666666,0.0074085823430217294,1.0,0.0,1.0,0.0,8.093095333333332,0.803927185515164,8.093095333333332,0.803927185515164
tkg,icews18,CyGNet,correct_path_warrant,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.283333,0.0,0.282282,0.004323384438145656,0.011485,0.0002844274951547405,0.9999293333333333,8.621678104220627e-06,0.9999223333333335,9.018499505626083e-06,0.017681333333333334,0.0006116774749272139,0.017684666666666665,0.000608231315646715,0.15941966666666665,0.00859714373110821,0.159481,0.008552364117599296,0.9999326666666667,3.8279672586572026e-05,1.0003743333333333,0.0003303851288016255,8.528958333333334,1.067755125365518,8.537455666666668,1.0651270419139365
tkg,icews18,CyGNet,generic_qk_warrant,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.283333,0.0,0.282282,0.004323384438145656,0.011485,0.0002844274951547405,0.9999293333333333,8.621678104220627e-06,0.9999223333333335,9.018499505626083e-06,0.017681333333333334,0.0006116774749272139,0.017684666666666665,0.000608231315646715,0.15941966666666665,0.00859714373110821,0.159481,0.008552364117599296,0.9999326666666667,3.8279672586572026e-05,1.0003743333333333,0.0003303851288016255,8.528961333333333,1.0677564122613985,8.537458333333333,1.0651287670194312
tkg,icews18,CyGNet,open_path_no_gate,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.283333,0.0,0.284134,0.0031148680549904456,0.011455333333333333,0.0002971469894401316,0.9999373333333333,6.658328118501337e-06,0.999931,6.557438524270464e-06,0.017610333333333335,0.0005563311364046895,0.017610333333333335,0.0005563311364046895,0.15645366666666666,0.0074085823430217294,0.15645366666666666,0.0074085823430217294,1.0,0.0,1.0,0.0,8.093091,0.8039245310829864,8.093091,0.8039245310829864
tkg,icews18,CyGNet,shuffled_pairing,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.283333,0.0,0.18652433333333332,0.0012846206962887268,0.0006573333333333332,0.00042471441385162964,0.9999256666666666,9.073771725859011e-06,0.999924,8.544003745335822e-06,0.013519000000000002,0.00046478704801231264,0.013522666666666667,0.00046466152555740375,0.15910666666666665,0.009274567501147062,0.15916833333333333,0.009226802497795943,0.999966,2.0518284528718592e-05,1.0004003333333333,0.0003599921295436154,10.230235,1.9899380590759608,10.240252,1.9854531558772672
