domain,dataset,model,variant,path_role,seed,status,train_loss,eval_loss,primary_metric,metric_name,direction,accuracy,auc,mark_mrr,mrr,support_mrr,support_ap,support_auc,support_attention_mass,distractor_attention_mass,support_attention_ratio,support_warrant_mass,distractor_warrant_mass,support_mass_ratio,joint_nll,mae_time,rmse_location,gate_mean,warrant_logit_mean,edge_warrant_gate_mean,edge_warrant_attention_entropy,warrant_tail_mass_mean,warrant_active_blocks,warrant_replacements,metric_path,key_value_item,failure_bottleneck,warrant_path,elapsed_sec,output_dir,stpp_revisit_rate,stpp_rmse_revisit,stpp_rmse_new_place,stpp_rmse_short_move,stpp_rmse_long_move,stpp_attention_prior_rmse,stpp_warrant_prior_rmse,stpp_prior_rmse_delta,stpp_useful_gate_mean,stpp_nonuseful_gate_mean,stpp_useful_mass_retention,stpp_nonuseful_mass_retention,stpp_false_suppression_index,tkg_true_tail_seen_rate,tkg_mrr_seen,tkg_mrr_unseen,tkg_copy_gate_mean_seen,tkg_copy_gate_mean_unseen,tkg_true_copy_mass_attention,tkg_true_copy_mass_warrant,tkg_false_top_copy_mass_attention,tkg_false_top_copy_mass_warrant,tkg_true_copy_retention,tkg_false_copy_retention,tkg_copy_saturation_attention,tkg_copy_saturation_warrant,checkpoint_path,effective_implementation,copy_gate_mean
stpp,gowalla,DeepSTPP,base,no_warrant,7,completed,7.506505,19.715889,0.037393,rmse_location,lower,0.0,,,,,,,,,,,,,19.715889,0.669835,0.037393,1.0,0.0,,,,0.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,24.413594,experiments/negative_row_diagnostics/outputs/stpp/gowalla/DeepSTPP/base/seed_7,0.052961,0.022267,0.038239,0.026892,0.047894,,,,,,,,,,,,,,,,,,,,,,experiments/negative_row_diagnostics/outputs/stpp/gowalla/DeepSTPP/base/seed_7/checkpoint.pt,DeepSTPP,
stpp,gowalla,DeepSTPP,generic_qk_warrant,weak_path_generic_attention,7,completed,7.474583,19.97114,0.04888,rmse_location,lower,0.000569,,,,,,,,,,,,,19.97114,0.663362,0.04888,0.047013,0.256417,,,,2.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,12.778339,experiments/negative_row_diagnostics/outputs/stpp/gowalla/DeepSTPP/generic_qk_warrant/seed_7,0.052961,0.039628,0.049398,0.03919,0.058571,,,,,,,,,,,,,,,,,,,,,,experiments/negative_row_diagnostics/outputs/stpp/gowalla/DeepSTPP/generic_qk_warrant/seed_7/checkpoint.pt,DeepSTPP,
stpp,gowalla,DeepSTPP,open_path_no_gate,metric_path_open_g_equals_one,7,completed,7.519497,19.717262,0.05287,rmse_location,lower,0.000569,,,,,,,,,,,,,19.717262,0.662856,0.05287,0.172141,0.0,,,,1.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,9.713674,experiments/negative_row_diagnostics/outputs/stpp/gowalla/DeepSTPP/open_path_no_gate/seed_7,0.052961,0.044503,0.053338,0.043522,0.062219,,,,,,,,,,,,,,,,,,,,,,experiments/negative_row_diagnostics/outputs/stpp/gowalla/DeepSTPP/open_path_no_gate/seed_7/checkpoint.pt,DeepSTPP,
stpp,gowalla,DeepSTPP,shuffled_pairing,query_item_pairing_control,7,completed,7.519497,21.995417,1.650031,rmse_location,lower,0.0,,,,,,,,,,,,,21.995417,0.799775,1.650031,0.149465,0.326874,,,,1.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,9.551308,experiments/negative_row_diagnostics/outputs/stpp/gowalla/DeepSTPP/shuffled_pairing/seed_7,0.0,,1.650031,0.753101,2.546962,,,,,,,,,,,,,,,,,,,,,,experiments/negative_row_diagnostics/outputs/stpp/gowalla/DeepSTPP/shuffled_pairing/seed_7/checkpoint.pt,DeepSTPP,
stpp,gowalla,DeepSTPP,base,no_warrant,17,completed,7.639913,19.643955,0.047195,rmse_location,lower,0.0,,,,,,,,,,,,,19.643955,0.674299,0.047195,1.0,0.0,,,,0.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,9.467229,experiments/negative_row_diagnostics/outputs/stpp/gowalla/DeepSTPP/base/seed_17,0.052961,0.042992,0.047431,0.036496,0.057895,,,,,,,,,,,,,,,,,,,,,,experiments/negative_row_diagnostics/outputs/stpp/gowalla/DeepSTPP/base/seed_17/checkpoint.pt,DeepSTPP,
stpp,gowalla,DeepSTPP,generic_qk_warrant,weak_path_generic_attention,17,completed,7.566431,20.120796,0.042323,rmse_location,lower,0.0,,,,,,,,,,,,,20.120796,0.663299,0.042323,0.047019,0.253195,,,,2.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,12.816058,experiments/negative_row_diagnostics/outputs/stpp/gowalla/DeepSTPP/generic_qk_warrant/seed_17,0.052961,0.031622,0.042922,0.032931,0.051715,,,,,,,,,,,,,,,,,,,,,,experiments/negative_row_diagnostics/outputs/stpp/gowalla/DeepSTPP/generic_qk_warrant/seed_17/checkpoint.pt,DeepSTPP,
stpp,gowalla,DeepSTPP,open_path_no_gate,metric_path_open_g_equals_one,17,completed,7.59973,19.917238,0.041733,rmse_location,lower,0.0,,,,,,,,,,,,,19.917238,0.661878,0.041733,0.172141,0.0,,,,1.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,9.431851,experiments/negative_row_diagnostics/outputs/stpp/gowalla/DeepSTPP/open_path_no_gate/seed_17,0.052961,0.034958,0.042111,0.0306,0.052866,,,,,,,,,,,,,,,,,,,,,,experiments/negative_row_diagnostics/outputs/stpp/gowalla/DeepSTPP/open_path_no_gate/seed_17/checkpoint.pt,DeepSTPP,
stpp,gowalla,DeepSTPP,shuffled_pairing,query_item_pairing_control,17,completed,7.59973,22.057497,1.638273,rmse_location,lower,0.0,,,,,,,,,,,,,22.057497,0.780795,1.638273,0.154129,0.366369,,,,1.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,9.418492,experiments/negative_row_diagnostics/outputs/stpp/gowalla/DeepSTPP/shuffled_pairing/seed_17,0.0,,1.638273,0.747439,2.529107,,,,,,,,,,,,,,,,,,,,,,experiments/negative_row_diagnostics/outputs/stpp/gowalla/DeepSTPP/shuffled_pairing/seed_17/checkpoint.pt,DeepSTPP,
stpp,gowalla,DeepSTPP,base,no_warrant,37,completed,7.476843,20.221107,0.044322,rmse_location,lower,0.0,,,,,,,,,,,,,20.221107,0.679472,0.044322,1.0,0.0,,,,0.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,9.410623,experiments/negative_row_diagnostics/outputs/stpp/gowalla/DeepSTPP/base/seed_37,0.052961,0.038007,0.044675,0.034,0.054644,,,,,,,,,,,,,,,,,,,,,,experiments/negative_row_diagnostics/outputs/stpp/gowalla/DeepSTPP/base/seed_37/checkpoint.pt,DeepSTPP,
stpp,gowalla,DeepSTPP,generic_qk_warrant,weak_path_generic_attention,37,completed,7.460038,20.189537,0.041093,rmse_location,lower,0.0,,,,,,,,,,,,,20.189537,0.674919,0.041093,0.046998,0.245282,,,,2.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,12.784318,experiments/negative_row_diagnostics/outputs/stpp/gowalla/DeepSTPP/generic_qk_warrant/seed_37,0.052961,0.032287,0.041586,0.029799,0.052388,,,,,,,,,,,,,,,,,,,,,,experiments/negative_row_diagnostics/outputs/stpp/gowalla/DeepSTPP/generic_qk_warrant/seed_37/checkpoint.pt,DeepSTPP,
