accuracy,epoch,eval_loss,gate_mean,joint_nll,mae_time,primary_metric,rmse_location,stpp_revisit_rate,stpp_rmse_long_move,stpp_rmse_new_place,stpp_rmse_revisit,stpp_rmse_short_move,train_loss,warrant_logit_mean
0.0,1,13.100374,1.0,13.100374,1.085818,0.024103,0.024103,0.052961,0.036043,0.024586,0.015469,0.012164,13.015318,0.0
0.0,2,13.114379,1.0,13.114379,0.970788,0.025393,0.025393,0.052961,0.037064,0.025855,0.017147,0.013723,12.595376,0.0
0.0,3,13.358753,1.0,13.358753,0.705899,0.026055,0.026055,0.052961,0.036802,0.026609,0.016141,0.015308,12.175398,0.0
0.000569,4,13.48436,1.0,13.48436,0.750381,0.028717,0.028717,0.052961,0.039854,0.029189,0.020266,0.01758,11.759482,0.0
0.001139,5,14.164076,1.0,14.164076,0.696097,0.026661,0.026661,0.052961,0.038021,0.027138,0.018118,0.0153,11.289001,0.0
0.001139,6,14.910627,1.0,14.910627,0.742846,0.029736,0.029736,0.052961,0.040655,0.030206,0.021342,0.018818,10.725281,0.0
0.000569,7,15.766608,1.0,15.766608,0.723306,0.037077,0.037077,0.052961,0.04667,0.037813,0.023917,0.027485,10.079877,0.0
0.000569,8,17.130777,1.0,17.130777,0.671308,0.034377,0.034377,0.052961,0.045114,0.034928,0.024528,0.02364,9.283369,0.0
0.0,9,17.930174,1.0,17.930174,0.702941,0.042466,0.042466,0.052961,0.052284,0.042987,0.033144,0.032647,8.435787,0.0
0.0,10,20.221107,1.0,20.221107,0.679472,0.044322,0.044322,0.052961,0.054644,0.044675,0.038007,0.034,7.476843,0.0
