accuracy,epoch,eval_loss,gate_mean,joint_nll,mae_time,primary_metric,rmse_location,stpp_attention_prior_rmse,stpp_false_suppression_index,stpp_nonuseful_gate_mean,stpp_nonuseful_mass_retention,stpp_prior_rmse_delta,stpp_revisit_rate,stpp_rmse_long_move,stpp_rmse_new_place,stpp_rmse_revisit,stpp_rmse_short_move,stpp_useful_gate_mean,stpp_useful_mass_retention,stpp_warrant_prior_rmse,train_loss,warrant_logit_mean
0.0,1,13.092363,0.163478,13.092363,1.0201,0.028028,0.028028,0.02112,-0.293093,0.656507,0.656504,-0.0,0.052961,0.025631,0.028529,0.019058,0.030424,0.9496,0.949597,0.021119,13.038525,0.496365
0.000569,2,13.092828,0.16334,13.092828,0.751642,0.023885,0.023885,0.021007,-0.292753,0.655809,0.655809,-1e-06,0.052961,0.022923,0.024378,0.015071,0.024846,0.948563,0.948562,0.021006,12.636156,0.493521
0.001139,3,13.332147,0.163047,13.332147,0.496192,0.028544,0.028544,0.020955,-0.292086,0.654412,0.654426,-2e-06,0.052961,0.027254,0.028967,0.020979,0.029834,0.946491,0.946512,0.020953,12.180346,0.487599
0.001139,4,13.468816,0.162673,13.468816,0.486439,0.025685,0.025685,0.020659,-0.291254,0.652704,0.652696,-4e-06,0.052961,0.023502,0.026287,0.014923,0.027868,0.943945,0.94395,0.020655,11.75921,0.480349
0.000569,5,14.049634,0.162132,14.049634,0.473994,0.025684,0.025684,0.020211,-0.289952,0.650086,0.650088,-6e-06,0.052961,0.025789,0.026188,0.01667,0.025579,0.940023,0.94004,0.020205,11.287987,0.470459
0.001139,6,14.738295,0.161871,14.738295,0.47183,0.027148,0.027148,0.020335,-0.289211,0.64866,0.648689,-5e-06,0.052961,0.025086,0.027705,0.017198,0.02921,0.937861,0.937901,0.02033,10.714002,0.466097
0.000569,7,15.610164,0.161096,15.610164,0.442086,0.034229,0.034229,0.020727,-0.287219,0.644648,0.644786,-4e-06,0.052961,0.03435,0.03468,0.026161,0.034108,0.931907,0.932005,0.020723,10.054376,0.453586
0.000569,8,16.518822,0.160294,16.518822,0.435041,0.048069,0.048069,0.021125,-0.285207,0.640301,0.640873,-2e-06,0.052961,0.051528,0.048452,0.041209,0.044609,0.925578,0.92608,0.021123,9.301936,0.442067
0.000569,9,18.046375,0.157904,18.046375,0.439969,0.049943,0.049943,0.021458,-0.280114,0.629171,0.630668,1e-06,0.052961,0.053428,0.050243,0.044575,0.046457,0.909319,0.910782,0.021459,8.447007,0.410188
0.0,10,19.638601,0.153995,19.638601,0.431559,0.034848,0.034848,0.021413,-0.271189,0.610856,0.614186,6e-06,0.052961,0.033949,0.035313,0.026522,0.035746,0.882482,0.885375,0.021419,7.527442,0.370433
