accuracy,epoch,eval_loss,gate_mean,joint_nll,mae_time,primary_metric,rmse_location,stpp_revisit_rate,stpp_rmse_long_move,stpp_rmse_new_place,stpp_rmse_revisit,stpp_rmse_short_move,train_loss,warrant_logit_mean
0.0,1,13.08421,0.044729,13.08421,1.093714,0.024949,0.024949,0.052961,0.036425,0.025436,0.016241,0.013472,13.007848,0.132889
0.0,2,13.110665,0.044692,13.110665,0.992426,0.0251,0.0251,0.052961,0.037037,0.025662,0.015049,0.013163,12.631927,0.132176
0.0,3,13.355917,0.044869,13.355917,0.708218,0.024094,0.024094,0.052961,0.035836,0.02462,0.014692,0.012352,12.220058,0.135713
0.001139,4,13.500412,0.044984,13.500412,0.736433,0.026233,0.026233,0.052961,0.03799,0.026676,0.018311,0.014476,11.826238,0.138153
0.002278,5,14.099311,0.045117,14.099311,0.705999,0.031171,0.031171,0.052961,0.042908,0.031565,0.024119,0.019434,11.364588,0.141138
0.001708,6,14.910173,0.045322,14.910173,0.727747,0.027674,0.027674,0.052961,0.038769,0.028149,0.019172,0.016578,10.812051,0.146097
0.000569,7,15.815317,0.045632,15.815317,0.734589,0.031434,0.031434,0.052961,0.042336,0.031901,0.023093,0.020532,10.165975,0.154738
0.0,8,16.720619,0.046006,16.720619,0.691573,0.038508,0.038508,0.052961,0.049059,0.038967,0.030296,0.027957,9.410086,0.167915
0.0,9,18.107224,0.046563,18.107224,0.697649,0.048746,0.048746,0.052961,0.059545,0.049294,0.038944,0.037946,8.548328,0.198109
0.0,10,20.120796,0.047019,20.120796,0.663299,0.042323,0.042323,0.052961,0.051715,0.042922,0.031622,0.032931,7.566431,0.253195
