accuracy,epoch,eval_loss,gate_mean,joint_nll,mae_time,primary_metric,rmse_location,stpp_revisit_rate,stpp_rmse_long_move,stpp_rmse_new_place,stpp_rmse_revisit,stpp_rmse_short_move,train_loss,warrant_logit_mean
0.0,1,13.096055,0.172141,13.096055,1.087096,0.027907,0.027907,0.052961,0.039226,0.028397,0.019147,0.016589,13.003342,0.0
0.0,2,13.095036,0.172141,13.095036,0.980333,0.024596,0.024596,0.052961,0.036279,0.025109,0.015431,0.012914,12.607629,0.0
0.000569,3,13.319981,0.172141,13.319981,0.692818,0.026708,0.026708,0.052961,0.03832,0.02708,0.020067,0.015096,12.178086,0.0
0.000569,4,13.469953,0.172141,13.469953,0.747468,0.024811,0.024811,0.052961,0.035776,0.025391,0.014431,0.013845,11.768354,0.0
0.000569,5,14.096055,0.172141,14.096055,0.683034,0.028319,0.028319,0.052961,0.03889,0.028862,0.018604,0.017748,11.29715,0.0
0.000569,6,14.791183,0.172141,14.791183,0.747472,0.027624,0.027624,0.052961,0.038854,0.028035,0.020286,0.016394,10.717452,0.0
0.000569,7,15.761631,0.172141,15.761631,0.689035,0.027221,0.027221,0.052961,0.038369,0.02763,0.01991,0.016074,10.067349,0.0
0.000569,8,16.561253,0.172141,16.561253,0.669889,0.036265,0.036265,0.052961,0.04696,0.036643,0.029505,0.02557,9.297996,0.0
0.000569,9,18.110527,0.172141,18.110527,0.68425,0.055191,0.055191,0.052961,0.063112,0.055546,0.048833,0.047269,8.452045,0.0
0.000569,10,19.717262,0.172141,19.717262,0.662856,0.05287,0.05287,0.052961,0.062219,0.053338,0.044503,0.043522,7.519497,0.0
