accuracy,epoch,eval_loss,gate_mean,joint_nll,mae_time,primary_metric,rmse_location,stpp_revisit_rate,stpp_rmse_long_move,stpp_rmse_new_place,stpp_rmse_short_move,train_loss,warrant_logit_mean
0.0,1,15.076506,0.163482,15.076506,1.089439,1.647544,1.647544,0.0,2.543349,1.647544,0.751739,13.003342,0.496454
0.0,2,15.095446,0.163365,15.095446,0.99108,1.645498,1.645498,0.0,2.540732,1.645498,0.750263,12.607629,0.494019
0.000569,3,15.349176,0.163118,15.349176,0.744928,1.644814,1.644814,0.0,2.540249,1.644814,0.74938,12.178086,0.489014
0.000569,4,15.52195,0.162812,15.52195,0.777345,1.644375,1.644375,0.0,2.539327,1.644375,0.749424,11.768354,0.483016
0.000569,5,16.180889,0.162232,16.180889,0.752643,1.63975,1.63975,0.0,2.532582,1.63975,0.746918,11.29715,0.472264
0.000569,6,16.915222,0.161686,16.915222,0.797044,1.647825,1.647825,0.0,2.543926,1.647825,0.751724,10.717452,0.462859
0.000569,7,17.927025,0.1605,17.927025,0.773975,1.64959,1.64959,0.0,2.546413,1.64959,0.752767,10.06735,0.444589
0.0,8,18.732721,0.159246,18.732721,0.790274,1.641025,1.641025,0.0,2.534159,1.641025,0.74789,9.297996,0.42713
0.0,9,20.365175,0.15527,20.365175,0.799597,1.662351,1.662351,0.0,2.564941,1.662351,0.75976,8.452045,0.379905
0.0,10,21.995417,0.149465,21.995417,0.799775,1.650031,1.650031,0.0,2.546962,1.650031,0.753101,7.519497,0.326874
