accuracy,copy_gate_mean,epoch,eval_loss,gate_mean,mrr,primary_metric,tkg_copy_gate_mean_seen,tkg_copy_gate_mean_unseen,tkg_copy_saturation_attention,tkg_copy_saturation_warrant,tkg_false_copy_retention,tkg_false_top_copy_mass_attention,tkg_false_top_copy_mass_warrant,tkg_mrr_seen,tkg_mrr_unseen,tkg_true_copy_mass_attention,tkg_true_copy_mass_warrant,tkg_true_copy_retention,tkg_true_tail_seen_rate,train_loss,warrant_logit_mean
0.0,0.791459,1,15.33322,1.0,0.000332,0.000332,0.796738,0.79155,3.045207,3.045207,1.0,0.077029,0.077029,0.000371,0.000316,0.009686,0.009686,1.0,0.283333,19.637492,0.0
0.005,0.966364,2,13.159497,1.0,0.007932,0.007932,0.967734,0.966144,3.763667,3.763667,1.0,0.092589,0.092589,0.01744,0.004173,0.010693,0.010693,1.0,0.283333,14.438608,0.0
0.014583,0.997544,3,11.817372,1.0,0.01619,0.01619,0.997683,0.997522,6.277774,6.277774,1.0,0.124349,0.124349,0.036858,0.008019,0.012508,0.012508,1.0,0.283333,12.501945,0.0
0.03125,0.999932,4,10.615339,1.0,0.060933,0.060933,0.999937,0.999931,16.888323,16.888323,1.0,0.160482,0.160482,0.194849,0.007989,0.014871,0.014871,1.0,0.283333,10.999478,0.0
0.0425,0.999992,5,10.433968,1.0,0.076474,0.076474,0.999992,0.999991,11.719328,11.719328,1.0,0.147122,0.147122,0.249657,0.008006,0.014896,0.014896,1.0,0.283333,10.133313,0.0
0.04375,0.99995,6,10.000623,1.0,0.074198,0.074198,0.999953,0.999948,5.616908,5.616908,1.0,0.120097,0.120097,0.241459,0.008071,0.013431,0.013431,1.0,0.283333,9.732978,0.0
0.044167,0.999893,7,9.856087,1.0,0.074396,0.074396,0.999901,0.999891,5.054302,5.054302,1.0,0.11759,0.11759,0.24175,0.008233,0.013559,0.013559,1.0,0.283333,9.371543,0.0
0.0475,0.99995,8,9.634418,1.0,0.080574,0.080574,0.999954,0.999949,5.694738,5.694738,1.0,0.129292,0.129292,0.262795,0.008533,0.014792,0.014792,1.0,0.283333,9.126521,0.0
0.05125,0.999966,9,9.528407,1.0,0.085588,0.085588,0.999968,0.999965,7.399911,7.399911,1.0,0.150279,0.150279,0.27721,0.009831,0.016697,0.016697,1.0,0.283333,8.903173,0.0
0.05375,0.999935,10,9.407712,1.0,0.089469,0.089469,0.999939,0.999932,8.873009,8.873009,1.0,0.164964,0.164964,0.287657,0.011116,0.018252,0.018252,1.0,0.283333,8.736384,0.0
