accuracy,copy_gate_mean,epoch,eval_loss,gate_mean,mrr,primary_metric,tkg_copy_gate_mean_seen,tkg_copy_gate_mean_unseen,tkg_copy_saturation_attention,tkg_copy_saturation_warrant,tkg_false_copy_retention,tkg_false_top_copy_mass_attention,tkg_false_top_copy_mass_warrant,tkg_mrr_seen,tkg_mrr_unseen,tkg_true_copy_mass_attention,tkg_true_copy_mass_warrant,tkg_true_copy_retention,tkg_true_tail_seen_rate,train_loss,warrant_logit_mean
0.0,0.844717,1,14.803027,0.950819,0.001114,0.001114,0.847307,0.847355,2.980194,2.980444,1.000086,0.07439,0.074397,0.001798,0.000844,0.009524,0.009525,1.000031,0.283333,18.863034,2.907798
0.014167,0.979558,2,12.910532,0.956406,0.014832,0.014832,0.980034,0.979902,3.606015,3.608365,1.000373,0.087397,0.087435,0.031614,0.008198,0.010584,0.010587,1.000029,0.283333,14.131884,3.034747
0.014167,0.998846,3,11.609946,0.971362,0.016935,0.016935,0.998863,0.998854,6.502477,6.524652,1.001046,0.115511,0.115634,0.039128,0.008162,0.012247,0.012254,0.999587,0.283333,12.326115,3.473931
0.039167,0.999977,4,10.525633,0.99219,0.066648,0.066648,0.999977,0.999977,18.054627,18.169691,1.000662,0.14596,0.146058,0.215022,0.007988,0.014089,0.014094,0.999381,0.283333,10.879774,4.826723
0.04125,0.999986,5,10.276358,0.995452,0.072522,0.072522,0.999987,0.999986,7.633506,7.656199,1.000514,0.124907,0.124976,0.235712,0.008004,0.013312,0.013316,0.999854,0.283333,10.19618,5.374969
0.037083,0.99991,6,10.026834,0.992252,0.066732,0.066732,0.999914,0.99991,5.020214,5.029133,1.000788,0.111083,0.111177,0.214189,0.008435,0.012474,0.01248,1.00003,0.283333,9.728444,4.821206
0.043333,0.999906,7,9.831892,0.993268,0.073034,0.073034,0.999911,0.999906,5.527411,5.536908,1.000817,0.118499,0.118602,0.233386,0.009639,0.013236,0.013243,1.000009,0.283333,9.456638,4.969545
0.048333,0.999961,8,9.648771,0.995838,0.082207,0.082207,0.999963,0.999961,7.053609,7.064667,1.000618,0.136445,0.136536,0.263121,0.010683,0.014906,0.014912,0.999942,0.283333,9.158306,5.472705
0.0525,0.999955,9,9.532725,0.996049,0.086528,0.086528,0.999958,0.999954,7.996272,8.009774,1.000634,0.148335,0.148435,0.276768,0.011317,0.016224,0.01623,0.999917,0.283333,8.97084,5.541181
0.05375,0.999914,10,9.455651,0.995262,0.08753,0.08753,0.99992,0.999913,8.272336,8.288688,1.00073,0.153735,0.153857,0.279341,0.011698,0.017208,0.017216,0.99989,0.283333,8.791314,5.369838
