accuracy,copy_gate_mean,epoch,eval_loss,gate_mean,mrr,primary_metric,tkg_copy_gate_mean_seen,tkg_copy_gate_mean_unseen,tkg_copy_saturation_attention,tkg_copy_saturation_warrant,tkg_false_copy_retention,tkg_false_top_copy_mass_attention,tkg_false_top_copy_mass_warrant,tkg_mrr_seen,tkg_mrr_unseen,tkg_true_copy_mass_attention,tkg_true_copy_mass_warrant,tkg_true_copy_retention,tkg_true_tail_seen_rate,train_loss,warrant_logit_mean
0.0,0.776222,1,15.340026,0.952939,0.000332,0.000332,0.781773,0.776344,3.049948,3.050537,1.000192,0.077217,0.077232,0.000373,0.000316,0.009702,0.009703,1.000064,0.283333,19.646556,2.954264
0.004583,0.960653,2,13.177744,0.961423,0.007639,0.007639,0.962251,0.960413,3.773384,3.776523,1.000561,0.092922,0.092976,0.016649,0.004078,0.010716,0.010719,1.000056,0.283333,14.457721,3.16287
0.014583,0.997053,3,11.851867,0.978518,0.015911,0.015911,0.997221,0.997026,6.419603,6.43887,1.00119,0.126341,0.126496,0.03587,0.008021,0.012586,0.012593,0.999687,0.283333,12.547014,3.771483
0.030417,0.999923,4,10.630161,0.995679,0.059585,0.059585,0.999928,0.999922,18.35306,18.414574,1.000457,0.166473,0.166551,0.190053,0.008004,0.015108,0.015111,0.999532,0.283333,11.071413,5.438035
0.0425,0.99999,5,10.393024,0.999137,0.076555,0.076555,0.999991,0.99999,13.121228,13.13697,1.000126,0.15292,0.15294,0.249921,0.008015,0.015158,0.015159,0.999894,0.283333,10.212872,7.109416
0.0425,0.99994,6,10.005421,0.999177,0.073193,0.073193,0.999944,0.999938,5.944535,5.947239,1.000135,0.123188,0.123206,0.237869,0.008089,0.013545,0.013546,0.999966,0.283333,9.812552,7.136136
0.043333,0.999883,7,9.860715,0.999206,0.073734,0.073734,0.999891,0.99988,5.248545,5.250255,1.000133,0.119454,0.119471,0.239322,0.008269,0.013598,0.013599,0.999989,0.283333,9.448859,7.183462
0.047083,0.999948,8,9.628222,0.999478,0.080335,0.080335,0.999951,0.999946,5.866997,5.868533,1.000091,0.13028,0.130292,0.261879,0.008561,0.01476,0.01476,0.999988,0.283333,9.193345,7.645437
0.049583,0.999962,9,9.514311,0.999602,0.084941,0.084941,0.999965,0.999961,7.653704,7.655737,1.000072,0.150816,0.150827,0.274538,0.009983,0.0166,0.016601,0.999979,0.283333,8.984748,7.969529
0.05375,0.999926,10,9.406279,0.999579,0.089386,0.089386,0.999931,0.999923,9.701644,9.704955,1.000077,0.16931,0.169323,0.287246,0.011162,0.018372,0.018372,0.999964,0.283333,8.80916,7.966999
