accuracy,copy_gate_mean,epoch,eval_loss,gate_mean,mrr,primary_metric,tkg_copy_gate_mean_seen,tkg_copy_gate_mean_unseen,tkg_copy_saturation_attention,tkg_copy_saturation_warrant,tkg_false_copy_retention,tkg_false_top_copy_mass_attention,tkg_false_top_copy_mass_warrant,tkg_mrr_seen,tkg_mrr_unseen,tkg_true_copy_mass_attention,tkg_true_copy_mass_warrant,tkg_true_copy_retention,tkg_true_tail_seen_rate,train_loss,warrant_logit_mean
0.0,0.776448,1,15.389576,0.952938,0.000712,0.000712,0.779895,0.77768,3.143461,3.144042,1.000187,0.077199,0.077213,0.000567,0.00077,0.009448,0.00945,1.000065,0.283333,19.646555,2.954244
0.0,0.960729,2,13.447649,0.961422,0.000677,0.000677,0.961544,0.960883,3.967171,3.970572,1.000562,0.092888,0.092944,0.000394,0.000789,0.010233,0.010236,1.000058,0.283333,14.457721,3.162832
0.000417,0.997062,3,12.21246,0.978518,0.001947,0.001947,0.997135,0.997081,6.99631,7.017466,1.001182,0.126301,0.126455,0.003776,0.001224,0.011835,0.011842,0.999712,0.283333,12.547014,3.771505
0.02375,0.999923,4,10.998435,0.99568,0.047417,0.047417,0.999925,0.999924,20.124779,20.189025,1.00047,0.16624,0.166318,0.164514,0.001123,0.01419,0.014194,0.999559,0.283333,11.071413,5.438123
0.025833,0.99999,5,10.713912,0.999137,0.055509,0.055509,0.99999,0.99999,13.871758,13.886726,1.000129,0.15303,0.15305,0.193357,0.001011,0.013983,0.013984,0.999902,0.283333,10.212872,7.108952
0.02375,0.99994,6,10.312755,0.999176,0.049622,0.049622,0.999941,0.99994,6.371725,6.374403,1.000141,0.123083,0.123101,0.172068,0.001214,0.012135,0.012136,0.999972,0.283333,9.812553,7.135054
0.022917,0.999883,7,10.176987,0.999205,0.04808,0.04808,0.999886,0.999883,5.831371,5.833163,1.000141,0.119403,0.11942,0.166536,0.001249,0.011827,0.011828,0.999996,0.283333,9.448859,7.181965
0.024583,0.999948,8,9.955944,0.999477,0.052031,0.052031,0.999949,0.999947,6.803233,6.804882,1.000098,0.130168,0.130181,0.180673,0.001173,0.012358,0.012359,0.999993,0.283333,9.193346,7.64355
0.025417,0.999962,9,9.871861,0.9996,0.054416,0.054416,0.999963,0.999962,9.304515,9.3068,1.000079,0.150594,0.150606,0.189337,0.001075,0.013242,0.013242,0.999982,0.283333,8.984748,7.967072
0.02375,0.999926,10,9.79107,0.999578,0.054055,0.054055,0.999927,0.999925,12.519612,12.523771,1.000082,0.169595,0.169609,0.187882,0.001147,0.013888,0.013889,0.999967,0.283333,8.80916,7.963825
