accuracy,dataset,domain,effective_implementation,elapsed_sec,epoch,eval_loss,gate_mean,joint_nll,mae_time,model,primary_metric,rmse_location,seed,train_gate_mean,train_loss,train_warrant_logit_mean,variant,warrant_active_blocks,warrant_logit_mean,warrant_replacements
nan,earthquake,stpp,TransformerSTPP,0.174,1,5.159621238708496,0.9999999403953552,5.159621238708496,0.5392361955946909,Transformer-STPP,1.1271449061416507,1.1271449061416507,7,1.0,5.10958993434906,0.0,base,0.0,0.0,0.0
nan,earthquake,stpp,TransformerSTPP,0.297,2,5.036774635314941,0.9999999403953552,5.036774635314941,0.5115377439210994,Transformer-STPP,1.2060610810004775,1.2060610810004775,7,1.0,4.772074460983276,0.0,base,0.0,0.0,0.0
nan,earthquake,stpp,TransformerSTPP,0.423,3,5.532573223114014,0.9999999403953552,5.532573223114014,0.26251448363393215,Transformer-STPP,1.4970562343414013,1.4970562343414013,7,1.0,4.705217719078064,0.0,base,0.0,0.0,0.0
nan,earthquake,stpp,TransformerSTPP,0.546,4,7.1890339851379395,0.9999999403953552,7.1890339851379395,0.2591628842738085,Transformer-STPP,2.0828752792957754,2.0828752792957754,7,1.0,4.479742527008057,0.0,base,0.0,0.0,0.0
nan,earthquake,stpp,TransformerSTPP,0.67,5,7.689222812652588,0.9999999403953552,7.689222812652588,0.356116889415352,Transformer-STPP,2.066448886598482,2.066448886598482,7,1.0,4.482767820358276,0.0,base,0.0,0.0,0.0
nan,earthquake,stpp,TransformerSTPP,0.786,6,7.644744396209717,0.9999999403953552,7.644744396209717,0.26483375205225124,Transformer-STPP,2.0737719649002093,2.0737719649002093,7,1.0,4.480513215065002,0.0,base,0.0,0.0,0.0
nan,earthquake,stpp,TransformerSTPP,0.908,7,6.425405025482178,0.9999999403953552,6.425405025482178,0.25536507360810035,Transformer-STPP,1.8057632007828308,1.8057632007828308,7,1.0,4.468072414398193,0.0,base,0.0,0.0,0.0
nan,earthquake,stpp,TransformerSTPP,1.035,8,8.773530960083008,0.9999999403953552,8.773530960083008,0.29256985610366887,Transformer-STPP,2.2813291437036933,2.2813291437036933,7,1.0,4.429840326309204,0.0,base,0.0,0.0,0.0
nan,earthquake,stpp,TransformerSTPP,1.162,9,5.966805458068848,0.9999999403953552,5.966805458068848,0.30194615368004685,Transformer-STPP,1.6478302075882398,1.6478302075882398,7,1.0,4.353817582130432,0.0,base,0.0,0.0,0.0
nan,earthquake,stpp,TransformerSTPP,1.284,10,5.5364532470703125,0.9999999403953552,5.5364532470703125,0.24248808549582884,Transformer-STPP,1.4960963091129602,1.4960963091129602,7,1.0,4.420928716659546,0.0,base,0.0,0.0,0.0
