accuracy,dataset,domain,effective_implementation,elapsed_sec,epoch,eval_loss,gate_mean,joint_nll,mae_time,model,primary_metric,rmse_location,seed,train_gate_mean,train_loss,train_warrant_logit_mean,variant,warrant_active_blocks,warrant_logit_mean,warrant_replacements
nan,earthquake,stpp,TransformerSTPP,0.126,1,5.157576560974121,0.9361773729324341,5.157576560974121,0.5391580166251959,Transformer-STPP,1.1243557989766755,1.1243557989766755,7,0.9426486045122147,5.109431862831116,2.867076098918915,warrant,1.0,2.8553802967071533,0.0
nan,earthquake,stpp,TransformerSTPP,0.258,2,5.042797088623047,0.935750424861908,5.042797088623047,0.5227890944379008,Transformer-STPP,1.2124584070821913,1.2124584070821913,7,0.9423853307962418,4.769495844841003,2.8602494597434998,warrant,1.0,2.846529006958008,0.0
nan,earthquake,stpp,TransformerSTPP,0.383,3,5.49923849105835,0.9335720539093018,5.49923849105835,0.26952964545970143,Transformer-STPP,1.480452725521638,1.480452725521638,7,0.941387340426445,4.7036930322647095,2.850595235824585,warrant,1.0,2.802067518234253,0.0
nan,earthquake,stpp,TransformerSTPP,0.511,4,6.954591751098633,0.930507242679596,6.954591751098633,0.24010485599911402,Transformer-STPP,1.9668429283165374,1.9668429283165374,7,0.9425669312477112,4.468757748603821,2.852096676826477,warrant,1.0,2.7458584308624268,0.0
nan,earthquake,stpp,TransformerSTPP,0.64,5,8.042916297912598,0.9251813888549805,8.042916297912598,0.34130732029203387,Transformer-STPP,2.1552868590878393,2.1552868590878393,7,0.9418042749166489,4.4562259912490845,2.849237322807312,warrant,1.0,2.666884422302246,0.0
nan,earthquake,stpp,TransformerSTPP,0.773,6,5.377350330352783,0.9234015345573425,5.377350330352783,0.2503289411137829,Transformer-STPP,1.4277748849907588,1.4277748849907588,7,0.9420133084058762,4.430960416793823,2.839245080947876,warrant,1.0,2.6782066822052,0.0
nan,earthquake,stpp,TransformerSTPP,0.9,7,7.678965091705322,0.8813203573226929,7.678965091705322,0.21468884400541238,Transformer-STPP,2.122013151103526,2.122013151103526,7,0.939769521355629,4.626707434654236,2.8302459716796875,warrant,1.0,2.27963924407959,0.0
nan,earthquake,stpp,TransformerSTPP,1.033,8,8.682713508605957,0.8352750539779663,8.682713508605957,0.34053862960929543,Transformer-STPP,2.2725969129810575,2.2725969129810575,7,0.9366307705640793,4.456573843955994,2.8347060680389404,warrant,1.0,2.0645878314971924,0.0
nan,earthquake,stpp,TransformerSTPP,1.166,9,5.405908584594727,0.883233904838562,5.405908584594727,0.33110435956563705,Transformer-STPP,1.4396203949050217,1.4396203949050217,7,0.932467132806778,4.35821270942688,2.7547228932380676,warrant,1.0,2.3027846813201904,0.0
nan,earthquake,stpp,TransformerSTPP,1.295,10,5.705246925354004,0.8487962484359741,5.705246925354004,0.2008206104184245,Transformer-STPP,1.5543049409569347,1.5543049409569347,7,0.9367437362670898,4.4540486335754395,2.788669168949127,warrant,1.0,2.0897130966186523,0.0
