domain,dataset,model,seed,variant,metric,direction,primary_metric,base_primary_metric,direction_aware_delta_vs_base
ctdg,lastfm,DyGFormer,7,base,auc,higher,0.787479,0.787479,0.0
ctdg,lastfm,DyGFormer,7,generic_qk_warrant,auc,higher,0.790601,0.787479,0.003121999999999958
ctdg,lastfm,DyGFormer,7,open_path_no_gate,auc,higher,0.851001,0.787479,0.06352199999999997
ctdg,lastfm,DyGFormer,7,scalar_gate,auc,higher,0.850978,0.787479,0.06349899999999997
ctdg,lastfm,DyGFormer,7,item_only_gate,auc,higher,0.845226,0.787479,0.05774699999999999
ctdg,lastfm,DyGFormer,7,normalized_gate,auc,higher,0.862645,0.787479,0.07516599999999996
ctdg,lastfm,DyGFormer,7,attention_adapter,auc,higher,0.862645,0.787479,0.07516599999999996
ctdg,lastfm,DyGFormer,7,generic_open_path,auc,higher,0.851474,0.787479,0.06399499999999991
ctdg,lastfm,DyGFormer,7,combined_full,auc,higher,0.852954,0.787479,0.06547499999999995
ctdg,lastfm,DyGFormer,7,correct_path_warrant,auc,higher,0.852099,0.787479,0.06462000000000001
ctdg,lastfm,DyGFormer,7,shuffled_pairing,auc,higher,0.638553,0.787479,-0.148926
ctdg,lastfm,DyGFormer,17,base,auc,higher,0.784689,0.784689,0.0
ctdg,lastfm,DyGFormer,17,generic_qk_warrant,auc,higher,0.790366,0.784689,0.005677000000000043
ctdg,lastfm,DyGFormer,17,open_path_no_gate,auc,higher,0.847547,0.784689,0.06285800000000008
ctdg,lastfm,DyGFormer,17,scalar_gate,auc,higher,0.847991,0.784689,0.06330200000000008
ctdg,lastfm,DyGFormer,17,item_only_gate,auc,higher,0.843732,0.784689,0.05904300000000007
ctdg,lastfm,DyGFormer,17,normalized_gate,auc,higher,0.86385,0.784689,0.07916100000000004
ctdg,lastfm,DyGFormer,17,attention_adapter,auc,higher,0.86385,0.784689,0.07916100000000004
ctdg,lastfm,DyGFormer,17,generic_open_path,auc,higher,0.854108,0.784689,0.06941900000000001
ctdg,lastfm,DyGFormer,17,combined_full,auc,higher,0.853668,0.784689,0.06897900000000001
ctdg,lastfm,DyGFormer,17,correct_path_warrant,auc,higher,0.8548,0.784689,0.07011100000000003
ctdg,lastfm,DyGFormer,17,shuffled_pairing,auc,higher,0.638018,0.784689,-0.146671
ctdg,lastfm,DyGFormer,37,base,auc,higher,0.785978,0.785978,0.0
ctdg,lastfm,DyGFormer,37,generic_qk_warrant,auc,higher,0.790011,0.785978,0.004033000000000064
ctdg,lastfm,DyGFormer,37,open_path_no_gate,auc,higher,0.861151,0.785978,0.07517300000000005
ctdg,lastfm,DyGFormer,37,scalar_gate,auc,higher,0.8625,0.785978,0.07652200000000009
ctdg,lastfm,DyGFormer,37,item_only_gate,auc,higher,0.85553,0.785978,0.06955200000000006
ctdg,lastfm,DyGFormer,37,normalized_gate,auc,higher,0.868312,0.785978,0.08233400000000002
ctdg,lastfm,DyGFormer,37,attention_adapter,auc,higher,0.868312,0.785978,0.08233400000000002
ctdg,lastfm,DyGFormer,37,generic_open_path,auc,higher,0.863587,0.785978,0.07760900000000004
ctdg,lastfm,DyGFormer,37,combined_full,auc,higher,0.861189,0.785978,0.07521100000000003
ctdg,lastfm,DyGFormer,37,correct_path_warrant,auc,higher,0.859193,0.785978,0.07321500000000003
ctdg,lastfm,DyGFormer,37,shuffled_pairing,auc,higher,0.636367,0.785978,-0.14961099999999994
mtpp,retweets,AttNHP,7,base,mark_mrr,higher,0.755474,0.755474,0.0
mtpp,retweets,AttNHP,7,generic_qk_warrant,mark_mrr,higher,0.77129,0.755474,0.015816000000000052
mtpp,retweets,AttNHP,7,correct_path_warrant,mark_mrr,higher,0.771019,0.755474,0.015545000000000031
mtpp,retweets,AttNHP,7,shuffled_pairing,mark_mrr,higher,0.753582,0.755474,-0.0018920000000000048
rag,hotpotqa,FiD,7,base,support_mrr,higher,0.557562,0.557562,0.0
rag,hotpotqa,FiD,7,generic_qk_warrant,support_mrr,higher,0.558031,0.557562,0.0004690000000000527
rag,hotpotqa,FiD,7,correct_path_warrant,support_mrr,higher,0.559334,0.557562,0.0017719999999999958
rag,hotpotqa,FiD,7,shuffled_pairing,support_mrr,higher,0.559068,0.557562,0.0015060000000000073
stpp,earthquake,DeepSTPP,7,base,rmse_location,lower,2.251913,2.251913,-0.0
stpp,earthquake,DeepSTPP,7,generic_qk_warrant,rmse_location,lower,2.225269,2.251913,0.026644000000000112
stpp,earthquake,DeepSTPP,7,correct_path_warrant,rmse_location,lower,2.23224,2.251913,0.01967300000000005
stpp,earthquake,DeepSTPP,7,shuffled_pairing,rmse_location,lower,2.363855,2.251913,-0.11194199999999999
tkg,gdelt,xERTE,7,base,mrr,higher,0.048807,0.048807,0.0
tkg,gdelt,xERTE,7,generic_qk_warrant,mrr,higher,0.049191,0.048807,0.00038399999999999546
tkg,gdelt,xERTE,7,open_path_no_gate,mrr,higher,0.116489,0.048807,0.06768199999999999
tkg,gdelt,xERTE,7,correct_path_warrant,mrr,higher,0.11752,0.048807,0.068713
tkg,gdelt,xERTE,7,shuffled_pairing,mrr,higher,0.114359,0.048807,0.065552
