accuracy,auc,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.582,0.610286,2.94544,0.949895,1,0.716627,1.0,0.610286,0.759036,0.0
0.5965,0.630872,2.931857,0.947704,2,0.696485,1.0,0.630872,0.704715,0.0
0.613,0.655644,2.831846,0.938328,3,0.67591,1.0,0.655644,0.673256,0.0
0.62075,0.680001,2.569654,0.906285,4,0.645816,1.0,0.680001,0.636555,0.0
0.6675,0.724262,2.211192,0.818628,5,0.611934,1.0,0.724262,0.601847,0.0
0.69625,0.763784,2.008876,0.635984,6,0.574296,1.0,0.763784,0.572383,0.0
0.716,0.793396,1.849346,0.370885,7,0.546513,1.0,0.793396,0.5408,0.0
0.73725,0.817372,2.077148,0.182088,8,0.520421,1.0,0.817372,0.51797,0.0
0.758,0.845909,2.388869,0.165983,9,0.487937,1.0,0.845909,0.487978,0.0
0.79325,0.862645,2.343065,0.117804,10,0.459698,1.0,0.862645,0.468609,0.0
