accuracy,auc,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.558438,0.579221,1,0.723196,1.0,0.579221,0.741538,0.0
0.58964,0.62849,2,0.676183,1.0,0.62849,0.674973,0.0
0.622215,0.670725,3,0.649269,1.0,0.670725,0.636743,0.0
0.644644,0.70522,4,0.628552,1.0,0.70522,0.606171,0.0
0.669515,0.731545,5,0.616217,1.0,0.731545,0.574191,0.0
0.67722,0.748032,6,0.596623,1.0,0.748032,0.54703,0.0
0.698352,0.768132,7,0.589196,1.0,0.768132,0.517785,0.0
0.702777,0.775473,8,0.603621,1.0,0.775473,0.48834,0.0
0.722231,0.793539,9,0.582392,1.0,0.793539,0.464883,0.0
0.712313,0.784689,10,0.608858,1.0,0.784689,0.444157,0.0
