accuracy,auc,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.539,0.563677,2.955271,0.948792,1,0.753385,0.845639,0.563677,0.782504,2.58125
0.5625,0.594506,2.935511,0.9542,2,0.721759,0.853759,0.594506,0.721326,2.771665
0.59675,0.63076,2.891362,0.964771,3,0.689933,0.869275,0.63076,0.684979,3.292392
0.61225,0.66164,2.742627,0.978409,4,0.65954,0.882062,0.66164,0.66097,4.186184
0.644,0.696243,2.479592,0.990638,5,0.632782,0.885872,0.696243,0.633625,4.827039
0.677,0.747011,2.117461,0.997408,6,0.592605,0.888439,0.747011,0.604237,5.8971
0.71075,0.788006,1.881962,0.999417,7,0.557769,0.889005,0.788006,0.571122,6.844809
0.732,0.814948,1.845732,0.999847,8,0.529649,0.889541,0.814948,0.54698,8.560434
0.75325,0.837422,1.98428,0.999945,9,0.499148,0.889553,0.837422,0.520011,8.758607
0.7835,0.861189,2.113293,0.999974,10,0.467241,0.88965,0.861189,0.487711,10.82199
