accuracy,auc,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.538068,0.57429,3.478242,0.972392,1,0.726851,0.914113,0.57429,0.74545,3.615386
0.58491,0.627314,2.894441,0.996924,2,0.674968,0.931261,0.627314,0.678112,6.564804
0.702395,0.77157,2.32327,0.99996,3,0.583031,0.932018,0.77157,0.624022,9.627679
0.746109,0.877911,1.962837,0.999996,4,0.492845,0.932054,0.877911,0.538436,11.502682
0.838038,0.887833,1.885635,0.999997,5,0.399562,0.932056,0.887833,0.49914,12.086978
0.835368,0.894029,2.27598,0.999997,6,0.394476,0.932051,0.894029,0.478591,11.813702
0.83491,0.895002,2.711439,0.999997,7,0.401854,0.932037,0.895002,0.467373,10.896476
0.837504,0.897792,2.141442,0.999998,8,0.392796,0.932035,0.897792,0.457431,10.630491
0.838877,0.8986,2.190124,0.999997,9,0.386965,0.931783,0.8986,0.443057,10.045567
0.836665,0.901125,2.2989,0.999997,10,0.384475,0.93201,0.901125,0.432693,11.056178
