accuracy,auc,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.55075,0.571412,2.947857,1.0,1,0.745645,0.84899,0.571412,0.771215,2.655455
0.58675,0.620896,2.93718,1.0,2,0.708113,0.859456,0.620896,0.701286,2.932152
0.592,0.647711,2.860172,1.0,3,0.675623,0.874009,0.647711,0.66809,3.53723
0.62325,0.678463,2.699719,1.0,4,0.651748,0.882638,0.678463,0.635289,4.302012
0.64525,0.710894,2.395613,1.0,5,0.620978,0.888087,0.710894,0.601988,5.786504
0.68025,0.751383,2.089386,1.0,6,0.585428,0.889221,0.751383,0.574924,7.203448
0.6995,0.78465,1.848042,1.0,7,0.551056,0.889401,0.78465,0.543363,8.022733
0.73225,0.813222,1.740409,1.0,8,0.525249,0.889559,0.813222,0.513954,9.35222
0.7625,0.841373,1.780851,1.0,9,0.492117,0.889608,0.841373,0.491846,10.643161
0.77825,0.854108,1.98128,1.0,10,0.474018,0.889571,0.854108,0.468678,10.271653
