accuracy,auc,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.540815,0.571587,1,0.72613,0.915957,0.571587,0.745238,3.718472
0.574916,0.607415,2,0.684468,0.931811,0.607415,0.679449,7.669804
0.606042,0.651608,3,0.653612,0.932029,0.651608,0.643278,10.344925
0.62069,0.679051,4,0.634885,0.932041,0.679051,0.609551,11.068122
0.651205,0.7172,5,0.614389,0.931995,0.7172,0.581029,11.128034
0.674321,0.739634,6,0.613926,0.932042,0.739634,0.550434,12.470558
0.685764,0.757366,7,0.592079,0.931994,0.757366,0.525471,10.570353
0.704684,0.779203,8,0.581383,0.931976,0.779203,0.498881,10.894246
0.706057,0.782139,9,0.582195,0.931795,0.782139,0.471349,9.86898
0.719713,0.790011,10,0.5971,0.931831,0.790011,0.45228,10.15844
