accuracy,auc,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.5495,0.571388,2.194509,0.649962,1,0.745423,1.0,0.571388,0.771031,0.0
0.58675,0.618954,2.428036,0.753097,2,0.709,1.0,0.618954,0.701084,0.0
0.58975,0.645385,2.531759,0.825734,3,0.677429,1.0,0.645385,0.668384,0.0
0.621,0.674933,2.464764,0.857577,4,0.656304,1.0,0.674933,0.636615,0.0
0.633,0.70358,2.250666,0.884768,5,0.627192,1.0,0.70358,0.604524,0.0
0.67625,0.743022,1.963802,0.902269,6,0.592292,1.0,0.743022,0.577881,0.0
0.69625,0.77636,1.722035,0.919655,7,0.559319,1.0,0.77636,0.546444,0.0
0.729,0.80719,1.561125,0.933046,8,0.530995,1.0,0.80719,0.517687,0.0
0.75325,0.838013,1.575795,0.939084,9,0.501618,1.0,0.838013,0.494448,0.0
0.7605,0.843732,1.720995,0.943394,10,0.48598,1.0,0.843732,0.476461,0.0
