accuracy,auc,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.55125,0.572242,2.947908,1.0,1,0.744786,1.0,0.572242,0.770827,0.0
0.5875,0.620619,2.937594,1.0,2,0.707761,1.0,0.620619,0.700466,0.0
0.59125,0.647467,2.86203,1.0,3,0.675674,1.0,0.647467,0.667525,0.0
0.6225,0.678046,2.704748,1.0,4,0.653417,1.0,0.678046,0.635277,0.0
0.63975,0.708792,2.405715,1.0,5,0.622791,1.0,0.708792,0.602541,0.0
0.67625,0.748824,2.095605,1.0,6,0.587217,1.0,0.748824,0.575583,0.0
0.69825,0.781631,1.854363,1.0,7,0.554009,1.0,0.781631,0.544299,0.0
0.732,0.811194,1.728791,1.0,8,0.527297,1.0,0.811194,0.51526,0.0
0.75825,0.840295,1.771154,1.0,9,0.495898,1.0,0.840295,0.493125,0.0
0.75925,0.847547,1.945991,1.0,10,0.485148,1.0,0.847547,0.471544,0.0
