accuracy,auc,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.58175,0.609596,2.032007,0.587646,1,0.716964,1.0,0.609596,0.759312,0.0
0.5925,0.62918,2.67573,0.868297,2,0.695808,1.0,0.62918,0.703302,0.0
0.615,0.655469,2.772252,0.948391,3,0.674822,1.0,0.655469,0.671233,0.0
0.61775,0.679882,2.567931,0.970544,4,0.64668,1.0,0.679882,0.637046,0.0
0.6655,0.724715,2.216593,0.982217,5,0.611709,1.0,0.724715,0.602644,0.0
0.68925,0.764451,1.889515,0.988342,6,0.574188,1.0,0.764451,0.57216,0.0
0.71725,0.792132,1.56661,0.992027,7,0.549002,1.0,0.792132,0.541586,0.0
0.731,0.812744,1.500826,0.993579,8,0.527561,1.0,0.812744,0.520623,0.0
0.75975,0.836254,1.47675,0.994902,9,0.495497,1.0,0.836254,0.491134,0.0
0.76075,0.850978,1.51753,0.995621,10,0.491968,1.0,0.850978,0.466066,0.0
