accuracy,auc,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.547147,0.585881,3.464205,0.960334,1,0.715428,0.915821,0.585881,0.748419,3.71058
0.594599,0.63686,2.516079,0.994698,2,0.674703,0.931554,0.63686,0.674409,7.106863
0.606042,0.6588,1.8087,0.999955,3,0.662188,0.932057,0.6588,0.607688,12.247821
0.554089,0.585642,1.903316,0.999996,4,0.950977,0.932056,0.585642,0.524307,11.908552
0.572399,0.605404,2.51792,0.999998,5,0.908397,0.932058,0.605404,0.487692,13.217916
0.538679,0.600248,2.485007,0.999998,6,0.917643,0.932059,0.600248,0.476549,14.088669
0.548444,0.617877,2.586366,0.999998,7,0.883839,0.932053,0.617877,0.463461,12.109001
0.562481,0.620843,2.754233,0.999998,8,0.904681,0.932051,0.620843,0.448032,12.159463
0.584223,0.642003,2.53313,0.999998,9,0.885517,0.932019,0.642003,0.436668,10.727157
0.597955,0.638018,2.609274,0.999998,10,0.859186,0.931994,0.638018,0.423302,10.781475
