accuracy,epoch,eval_loss,gate_mean,mae_time,mark_mrr,primary_metric,train_loss,warrant_logit_mean
0.483374,1,41.285801,1.0,4024.648011,0.729386,0.729386,96.445173,0.0
0.506894,2,41.20639,1.0,4024.234527,0.741146,0.741146,96.652957,0.0
0.492295,3,41.206459,1.0,4023.950648,0.726142,0.726142,98.069715,0.0
0.490673,4,41.112461,1.0,4022.807732,0.733712,0.733712,99.320076,0.0
0.523925,5,41.10051,1.0,4021.388462,0.750338,0.750338,97.058378,0.0
0.548256,6,41.063725,1.0,4019.838915,0.763314,0.763314,98.226471,0.0
0.545823,7,41.039101,1.0,4018.067666,0.760881,0.760881,96.522898,0.0
0.559611,8,41.020187,1.0,4015.73324,0.766829,0.766829,97.505903,0.0
0.556367,9,40.979729,1.0,4012.520589,0.766964,0.766964,97.467051,0.0
0.533658,10,40.945385,1.0,4008.518451,0.755474,0.755474,95.439766,0.0
