accuracy,epoch,eval_loss,gate_mean,mae_time,mark_mrr,primary_metric,train_loss,warrant_logit_mean
0.524736,1,41.295589,0.108809,4024.831631,0.748986,0.748986,96.589381,0.330294
0.470397,2,41.215942,0.108822,4024.595699,0.721276,0.721276,96.708969,0.330597
0.506083,3,41.194088,0.10884,4024.361497,0.741281,0.741281,98.088638,0.331005
0.519059,4,41.161419,0.108877,4023.776554,0.747905,0.747905,99.322337,0.331777
0.536091,5,41.109806,0.108871,4023.008399,0.756421,0.756421,97.085284,0.331699
0.523114,6,41.11203,0.108865,4022.226814,0.749797,0.749797,98.238075,0.331605
0.519059,7,41.113026,0.108871,4021.171732,0.744796,0.744796,96.548617,0.331735
0.523925,8,41.081917,0.108883,4019.536885,0.74804,0.74804,97.539149,0.332083
0.531225,9,41.0555,0.108894,4017.51893,0.753582,0.753582,97.508418,0.332415
0.532036,10,41.032856,0.108927,4015.064048,0.753582,0.753582,95.503222,0.333061
