distractor_attention_mass,distractor_warrant_mass,epoch,eval_loss,gate_mean,primary_metric,support_ap,support_attention_mass,support_attention_ratio,support_auc,support_f1,support_mass_ratio,support_mrr,support_precision,support_recall,support_recall_at_1,support_recall_at_2,support_recall_at_5,support_warrant_mass,train_loss,warrant_logit_mean
0.7361,0.7361,1,1.592117,1.0,0.555869,0.538633,0.2639,0.2639,0.551192,0.315734,0.2639,0.555869,0.315734,0.315734,0.329842,0.534449,1.0,0.2639,1.600722,0.0
0.735335,0.735335,2,1.592007,1.0,0.56575,0.5461,0.264665,0.264665,0.55323,0.326897,0.264665,0.56575,0.326897,0.326897,0.342538,0.545579,1.0,0.264665,1.565183,0.0
0.733373,0.733373,3,1.615401,1.0,0.565695,0.547017,0.266627,0.266627,0.551068,0.324731,0.266627,0.565695,0.324731,0.324731,0.345821,0.538945,1.0,0.266627,1.533652,0.0
0.737959,0.737959,4,1.642918,1.0,0.572478,0.553879,0.262041,0.262041,0.553981,0.331093,0.262041,0.572478,0.331093,0.331093,0.350401,0.554906,1.0,0.262041,1.479442,0.0
0.742353,0.742353,5,1.696432,1.0,0.56264,0.546233,0.257647,0.257647,0.556048,0.322504,0.257647,0.56264,0.322504,0.322504,0.332031,0.550478,1.0,0.257647,1.396528,0.0
0.741233,0.741233,6,1.81504,1.0,0.549056,0.533399,0.258767,0.258767,0.539498,0.303387,0.258767,0.549056,0.303387,0.303387,0.312971,0.53684,1.0,0.258767,1.289572,0.0
0.742969,0.742969,7,1.89069,1.0,0.55208,0.538738,0.257031,0.257031,0.54811,0.311891,0.257031,0.55208,0.311891,0.311891,0.310783,0.551994,1.0,0.257031,1.159162,0.0
0.744334,0.744334,8,2.020356,1.0,0.558761,0.543362,0.255666,0.255666,0.552207,0.319121,0.255666,0.558761,0.319121,0.319121,0.32432,0.547296,1.0,0.255666,1.034976,0.0
0.745578,0.745578,9,2.156659,1.0,0.545864,0.53312,0.254422,0.254422,0.548824,0.306262,0.254422,0.545864,0.306262,0.306262,0.302297,0.540123,1.0,0.254422,0.916513,0.0
0.74954,0.74954,10,2.302574,1.0,0.557562,0.543397,0.25046,0.25046,0.560006,0.316541,0.25046,0.557562,0.316541,0.316541,0.318864,0.55526,1.0,0.25046,0.807573,0.0
