distractor_attention_mass,distractor_warrant_mass,epoch,eval_loss,gate_mean,primary_metric,support_ap,support_attention_mass,support_attention_ratio,support_auc,support_f1,support_mass_ratio,support_mrr,support_precision,support_recall,support_recall_at_1,support_recall_at_2,support_recall_at_5,support_warrant_mass,train_loss,warrant_logit_mean
0.735508,0.700868,1,1.592228,0.948213,0.555712,0.538512,0.264492,0.264492,0.551031,0.316222,0.264518,0.555712,0.316222,0.316222,0.33028,0.532833,1.0,0.252074,1.600935,1.673228
0.734016,0.698343,2,1.591855,0.946729,0.565707,0.546225,0.265984,0.265984,0.553216,0.327436,0.26609,0.565707,0.327436,0.327436,0.342538,0.545579,1.0,0.253217,1.565058,1.637516
0.732422,0.698014,3,1.615084,0.948073,0.565318,0.54693,0.267578,0.267578,0.551397,0.325564,0.267988,0.565318,0.325564,0.325564,0.345434,0.536789,1.0,0.255619,1.533647,1.691659
0.737428,0.699129,4,1.642638,0.943107,0.572174,0.553419,0.262572,0.262572,0.553845,0.330767,0.26297,0.572174,0.330767,0.330767,0.349424,0.555782,1.0,0.249483,1.479528,1.575254
0.741938,0.694217,5,1.696215,0.92907,0.562066,0.545777,0.258062,0.258062,0.555956,0.322529,0.258459,0.562066,0.322529,0.322529,0.331593,0.549838,1.0,0.241962,1.396689,1.302467
0.740733,0.693398,6,1.814988,0.927894,0.549742,0.534305,0.259267,0.259267,0.539667,0.305786,0.259974,0.549742,0.305786,0.305786,0.31415,0.53689,1.0,0.243614,1.289705,1.327578
0.742527,0.686111,7,1.887693,0.914328,0.550036,0.537066,0.257473,0.257473,0.548194,0.309003,0.258278,0.550036,0.309003,0.309003,0.307701,0.549451,1.0,0.238933,1.159506,1.094679
0.743693,0.673764,8,2.023089,0.887946,0.560483,0.545519,0.256307,0.256307,0.552662,0.322651,0.257525,0.560483,0.322651,0.322651,0.325835,0.551791,1.0,0.233564,1.035304,0.67555
0.744799,0.681179,9,2.157178,0.896287,0.545431,0.533274,0.255201,0.255201,0.548625,0.30763,0.256441,0.545431,0.30763,0.30763,0.300343,0.544619,1.0,0.234935,0.916539,0.870489
0.749225,0.68233,10,2.304843,0.891566,0.559334,0.544759,0.250775,0.250775,0.560394,0.317349,0.251836,0.559334,0.317349,0.317349,0.320919,0.557752,1.0,0.22956,0.807976,0.788874
