distractor_attention_mass,distractor_warrant_mass,epoch,eval_loss,gate_mean,primary_metric,support_ap,support_attention_mass,support_attention_ratio,support_auc,support_f1,support_mass_ratio,support_mrr,support_precision,support_recall,support_recall_at_1,support_recall_at_2,support_recall_at_5,support_warrant_mass,train_loss,warrant_logit_mean
0.736179,0.70114,1,1.592247,0.94771,0.556404,0.53881,0.263821,0.263821,0.551003,0.316711,0.263836,0.556404,0.316711,0.316711,0.331257,0.533809,1.0,0.251286,1.600881,1.660517
0.735411,0.699462,2,1.591881,0.946468,0.56641,0.546834,0.264589,0.264589,0.553123,0.327924,0.264663,0.56641,0.327924,0.327924,0.343565,0.546067,1.0,0.251765,1.565053,1.63046
0.733375,0.698779,3,1.615166,0.948025,0.565565,0.546776,0.266625,0.266625,0.551316,0.324781,0.266964,0.565565,0.324781,0.324781,0.345871,0.53684,1.0,0.254549,1.533613,1.68332
0.737957,0.700692,4,1.642873,0.944715,0.572512,0.553732,0.262043,0.262043,0.553858,0.331306,0.262383,0.572512,0.331306,0.331306,0.349963,0.55622,1.0,0.24928,1.4794,1.605814
0.742376,0.698096,5,1.696847,0.934392,0.561942,0.545486,0.257624,0.257624,0.555967,0.322942,0.25794,0.561942,0.322942,0.322942,0.331442,0.550327,1.0,0.242658,1.396537,1.391256
0.741247,0.696674,6,1.814471,0.932536,0.54933,0.534271,0.258753,0.258753,0.539663,0.306005,0.259305,0.54933,0.306005,0.306005,0.313022,0.537968,1.0,0.243907,1.289634,1.389308
0.743058,0.69106,7,1.889019,0.921245,0.551267,0.538041,0.256942,0.256942,0.548241,0.310839,0.257553,0.551267,0.310839,0.310839,0.309267,0.551606,1.0,0.239728,1.159309,1.191683
0.744364,0.679148,8,2.023048,0.895089,0.559504,0.544534,0.255636,0.255636,0.552483,0.320662,0.256586,0.559504,0.320662,0.320662,0.323781,0.551791,1.0,0.234252,1.035083,0.795194
0.745516,0.686019,9,2.158611,0.902362,0.545612,0.533079,0.254484,0.254484,0.548712,0.306409,0.255464,0.545612,0.306409,0.306409,0.30132,0.542615,1.0,0.235348,0.916245,0.965587
0.749864,0.686444,10,2.303742,0.89595,0.558031,0.543792,0.250136,0.250136,0.560108,0.316272,0.250925,0.558031,0.316272,0.316272,0.319403,0.555159,1.0,0.229795,0.807542,0.860097
