distractor_attention_mass,distractor_warrant_mass,epoch,eval_loss,gate_mean,primary_metric,support_ap,support_attention_mass,support_attention_ratio,support_auc,support_f1,support_mass_ratio,support_mrr,support_precision,support_recall,support_recall_at_1,support_recall_at_2,support_recall_at_5,support_warrant_mass,train_loss,warrant_logit_mean
0.735508,0.700868,1,1.592206,0.948213,0.55552,0.53865,0.264492,0.264492,0.550835,0.31666,0.264518,0.55552,0.31666,0.31666,0.329203,0.534988,1.0,0.252074,1.600935,1.673228
0.734016,0.698343,2,1.591778,0.946729,0.566448,0.547229,0.265984,0.265984,0.553043,0.329288,0.26609,0.566448,0.329288,0.329288,0.344003,0.546067,1.0,0.253217,1.565058,1.637516
0.732422,0.698014,3,1.614949,0.948073,0.564681,0.546869,0.267578,0.267578,0.551179,0.326145,0.267988,0.564681,0.326145,0.326145,0.342302,0.543541,1.0,0.255619,1.533647,1.691659
0.737428,0.699129,4,1.642664,0.943107,0.571546,0.552992,0.262572,0.262572,0.553712,0.329807,0.26297,0.571546,0.329807,0.329807,0.348734,0.554216,1.0,0.249483,1.479528,1.575254
0.741938,0.694217,5,1.696582,0.92907,0.561576,0.545016,0.258062,0.258062,0.555898,0.321283,0.258459,0.561576,0.321283,0.321283,0.331055,0.5493,1.0,0.241962,1.396689,1.302467
0.740733,0.693398,6,1.81531,0.927894,0.54845,0.533123,0.259267,0.259267,0.539636,0.303808,0.259974,0.54845,0.303808,0.303808,0.312096,0.536453,1.0,0.243614,1.289705,1.327578
0.742527,0.686111,7,1.888176,0.914328,0.550308,0.537141,0.257473,0.257473,0.548161,0.309669,0.258278,0.550308,0.309669,0.309669,0.308392,0.548576,1.0,0.238933,1.159506,1.094679
0.743693,0.673764,8,2.023762,0.887946,0.559284,0.544289,0.256307,0.256307,0.552649,0.320098,0.257525,0.559284,0.320098,0.320098,0.32368,0.551741,1.0,0.233564,1.035304,0.67555
0.744799,0.681179,9,2.158244,0.896287,0.544949,0.532848,0.255201,0.255201,0.548599,0.306552,0.256441,0.544949,0.306552,0.306552,0.299215,0.545107,1.0,0.234935,0.916539,0.870489
0.749225,0.68233,10,2.306197,0.891566,0.559068,0.544252,0.250775,0.250775,0.560377,0.315952,0.251836,0.559068,0.315952,0.315952,0.320228,0.559267,1.0,0.22956,0.807976,0.788874
