distractor_attention_mass,distractor_warrant_mass,epoch,eval_loss,gate_mean,primary_metric,support_ap,support_attention_mass,support_attention_ratio,support_auc,support_f1,support_mass_ratio,support_mrr,support_precision,support_recall,support_recall_at_1,support_recall_at_2,support_recall_at_5,support_warrant_mass,train_loss,warrant_logit_mean
0.728002,0.728002,1,1.548739,1.0,0.609715,0.592597,0.271998,0.271998,0.587702,0.387288,0.271998,0.609715,0.387288,0.387288,0.403027,0.606738,1.0,0.271998,1.563869,0.0
0.738649,0.738649,2,1.560361,1.0,0.616105,0.59652,0.261351,0.261351,0.607781,0.384009,0.261351,0.616105,0.384009,0.384009,0.403809,0.628613,1.0,0.261351,1.408823,0.0
0.735383,0.735383,3,1.697102,1.0,0.614178,0.594925,0.264617,0.264617,0.601552,0.385164,0.264617,0.614178,0.385164,0.385164,0.402246,0.62207,1.0,0.264617,1.093358,0.0
0.73379,0.73379,4,2.037947,1.0,0.607371,0.588387,0.26621,0.26621,0.594482,0.375692,0.26621,0.607371,0.375692,0.375692,0.393164,0.613672,1.0,0.26621,0.736239,0.0
0.737393,0.737393,5,2.277753,1.0,0.602015,0.58483,0.262607,0.262607,0.597503,0.371134,0.262607,0.602015,0.371134,0.371134,0.390527,0.595117,1.0,0.262607,0.497383,0.0
0.733791,0.733791,6,2.378625,1.0,0.607524,0.588937,0.266209,0.266209,0.599449,0.376644,0.266209,0.607524,0.376644,0.376644,0.393262,0.612695,1.0,0.266209,0.40949,0.0
0.733487,0.733487,7,2.349063,1.0,0.610527,0.591393,0.266513,0.266513,0.601915,0.377824,0.266513,0.610527,0.377824,0.377824,0.397363,0.614746,1.0,0.266513,0.366632,0.0
0.736216,0.736216,8,2.385186,1.0,0.611515,0.593892,0.263784,0.263784,0.605471,0.386922,0.263784,0.611515,0.386922,0.386922,0.398926,0.61875,1.0,0.263784,0.344568,0.0
0.736711,0.736711,9,2.422587,1.0,0.610529,0.59299,0.263289,0.263289,0.604192,0.379793,0.263289,0.610529,0.379793,0.379793,0.398926,0.612988,1.0,0.263289,0.318713,0.0
0.739147,0.739147,10,2.451421,1.0,0.609272,0.591002,0.260853,0.260853,0.606725,0.378263,0.260853,0.609272,0.378263,0.378263,0.396875,0.611621,1.0,0.260853,0.305412,0.0
