distractor_attention_mass,distractor_warrant_mass,epoch,eval_loss,gate_mean,primary_metric,support_ap,support_attention_mass,support_attention_ratio,support_auc,support_f1,support_mass_ratio,support_mrr,support_precision,support_recall,support_recall_at_1,support_recall_at_2,support_recall_at_5,support_warrant_mass,train_loss,warrant_logit_mean
0.728541,0.689984,1,1.552012,0.942385,0.614559,0.594283,0.271459,0.271459,0.600356,0.389062,0.271713,0.614559,0.389062,0.389062,0.409766,0.610938,1.0,0.257405,1.570129,1.538372
0.730096,0.690564,2,1.567927,0.941462,0.616348,0.595335,0.269904,0.269904,0.611233,0.384416,0.270328,0.616348,0.384416,0.384416,0.408105,0.620605,1.0,0.255847,1.409234,1.521917
0.737723,0.695214,3,1.734151,0.938529,0.610802,0.591697,0.262277,0.262277,0.604022,0.381307,0.26301,0.610802,0.381307,0.381307,0.40332,0.604492,1.0,0.248106,1.090664,1.472949
0.736473,0.688235,4,2.134502,0.931406,0.603364,0.586112,0.263527,0.263527,0.602421,0.374894,0.264633,0.603364,0.374894,0.374894,0.389355,0.604297,1.0,0.247718,0.71789,1.349874
0.739238,0.69039,5,2.333951,0.931672,0.603639,0.585087,0.260762,0.260762,0.606181,0.375041,0.262042,0.603639,0.375041,0.375041,0.391504,0.60293,1.0,0.245315,0.484181,1.372131
0.737477,0.686444,6,2.471103,0.928514,0.605265,0.587192,0.262523,0.262523,0.605768,0.37548,0.263911,0.605265,0.37548,0.37548,0.393262,0.605273,1.0,0.246384,0.403122,1.315848
0.739899,0.686657,7,2.411794,0.92578,0.606826,0.5881,0.260101,0.260101,0.605035,0.375814,0.261505,0.606826,0.375814,0.375814,0.394531,0.608105,1.0,0.243449,0.368906,1.257442
0.738152,0.687118,8,2.423067,0.928486,0.611882,0.593992,0.261848,0.261848,0.609664,0.385645,0.263298,0.611882,0.385645,0.385645,0.405859,0.606445,1.0,0.245824,0.339416,1.313056
0.739641,0.688212,9,2.438083,0.928493,0.607461,0.588512,0.260359,0.260359,0.615014,0.371289,0.261828,0.607461,0.371289,0.371289,0.390723,0.61582,1.0,0.244406,0.319317,1.314477
0.738596,0.686896,10,2.468026,0.928136,0.605924,0.587894,0.261404,0.261404,0.611106,0.376449,0.262842,0.605924,0.376449,0.376449,0.39668,0.598437,1.0,0.245275,0.303216,1.305546
