distractor_attention_mass,distractor_warrant_mass,epoch,eval_loss,gate_mean,primary_metric,support_ap,support_attention_mass,support_attention_ratio,support_auc,support_f1,support_mass_ratio,support_mrr,support_precision,support_recall,support_recall_at_1,support_recall_at_2,support_recall_at_5,support_warrant_mass,train_loss,warrant_logit_mean
0.727713,0.691166,1,1.548725,0.944899,0.609023,0.591515,0.272287,0.272287,0.587696,0.385726,0.272322,0.609023,0.385726,0.385726,0.402051,0.606738,1.0,0.258667,1.563917,1.595067
0.738335,0.690831,2,1.560472,0.930576,0.615715,0.596276,0.261665,0.261665,0.607635,0.38313,0.261954,0.615715,0.38313,0.38313,0.40332,0.627344,1.0,0.245244,1.408806,1.293587
0.734572,0.618198,3,1.696836,0.838762,0.614056,0.594953,0.265428,0.265428,0.601328,0.385824,0.267898,0.614056,0.385824,0.385824,0.403516,0.619531,1.0,0.227105,1.093657,-0.114026
0.734602,0.576956,4,2.038027,0.784771,0.605435,0.586491,0.265398,0.265398,0.593916,0.373201,0.269812,0.605435,0.373201,0.373201,0.389941,0.613867,1.0,0.214604,0.736246,-1.449441
0.739349,0.566954,5,2.279347,0.767194,0.602829,0.585634,0.260651,0.260651,0.5975,0.372965,0.264834,0.602829,0.372965,0.372965,0.392188,0.593457,1.0,0.205563,0.497625,-2.08142
0.734865,0.567957,6,2.373914,0.772558,0.608135,0.589678,0.265135,0.265135,0.599272,0.377181,0.269353,0.608135,0.377181,0.377181,0.393555,0.61416,1.0,0.21134,0.409635,-1.970016
0.735464,0.563308,7,2.345953,0.76592,0.609803,0.591074,0.264536,0.264536,0.601771,0.377458,0.269089,0.609803,0.377458,0.377458,0.39707,0.610059,1.0,0.209236,0.366271,-2.363265
0.73963,0.567027,8,2.384204,0.766201,0.613055,0.594382,0.26037,0.26037,0.605139,0.386304,0.264917,0.613055,0.386304,0.386304,0.402441,0.617578,1.0,0.206232,0.344006,-2.448544
0.739852,0.560745,9,2.409252,0.758517,0.610697,0.592657,0.260148,0.260148,0.605787,0.381258,0.264291,0.610697,0.381258,0.381258,0.399219,0.61377,1.0,0.203055,0.318274,-2.900688
0.740604,0.57305,10,2.460322,0.774951,0.609103,0.591288,0.259396,0.259396,0.605856,0.380851,0.263594,0.609103,0.380851,0.380851,0.396191,0.612891,1.0,0.207325,0.305049,-2.136387
