epoch,eval_loss,gate_mean,joint_nll,mae_time,primary_metric,rmse_location,train_loss,warrant_logit_mean
1,9.990931,0.478242,9.990931,0.303743,2.282882,2.282882,3.672673,1.486102
2,9.914468,0.476715,9.914468,0.600003,2.271118,2.271118,3.533064,1.452731
3,9.63984,0.476783,9.63984,0.412039,2.261784,2.261784,3.507828,1.454173
4,9.514134,0.476931,9.514134,0.243702,2.252028,2.252028,3.475143,1.457341
5,9.642509,0.47669,9.642509,0.448665,2.247895,2.247895,3.461987,1.452208
6,9.637938,0.476773,9.637938,0.308481,2.250982,2.250982,3.446612,1.45397
7,9.536276,0.476683,9.536276,0.312041,2.250353,2.250353,3.433091,1.452049
8,9.488826,0.476539,9.488826,0.359374,2.251313,2.251313,3.419548,1.449028
9,9.530033,0.476669,9.530033,0.280216,2.242881,2.242881,3.406701,1.451773
10,9.491029,0.476667,9.491029,0.283405,2.225269,2.225269,3.39346,1.451752
