epoch,eval_loss,gate_mean,joint_nll,mae_time,primary_metric,rmse_location,train_loss,warrant_logit_mean
1,10.477513,0.938726,10.477513,0.2844,2.452337,2.452337,3.671444,2.862656
2,10.405427,0.938897,10.405427,0.594285,2.436293,2.436293,3.532473,2.866319
3,10.113513,0.939141,10.113513,0.41596,2.415748,2.415748,3.507949,2.871642
4,9.95236,0.939276,9.95236,0.246767,2.399651,2.399651,3.474945,2.875325
5,10.089224,0.93918,10.089224,0.444207,2.393666,2.393666,3.462937,2.874353
6,10.128653,0.940054,10.128653,0.30523,2.397324,2.397324,3.447066,2.894529
7,10.036895,0.941066,10.036895,0.304104,2.39458,2.39458,3.433227,2.919015
8,9.950816,0.941982,9.950816,0.338489,2.391692,2.391692,3.41945,2.942227
9,9.989115,0.942729,9.989115,0.261816,2.385364,2.385364,3.406858,2.959798
10,9.980317,0.94338,9.980317,0.267034,2.363855,2.363855,3.393231,2.974761
