accuracy,epoch,eval_loss,gate_mean,mrr,primary_metric,train_loss,warrant_logit_mean,warrant_tail_mass_mean
0.0,1,17.440884,1.0,0.00149,0.00149,24.800924,0.0,0.0
0.0,2,13.849512,1.0,0.001539,0.001539,16.823817,0.0,0.0
0.004,3,12.058564,1.0,0.006568,0.006568,13.690063,0.0,0.0
0.0095,4,11.156471,1.0,0.01109,0.01109,11.938807,0.0,0.0
0.0095,5,10.627178,1.0,0.01322,0.01322,11.07073,0.0,0.0
0.01,6,10.270617,1.0,0.016014,0.016014,10.5304,0.0,0.0
0.012,7,10.019855,1.0,0.020348,0.020348,10.114454,0.0,0.0
0.0165,8,9.848789,1.0,0.0266,0.0266,9.834932,0.0,0.0
0.0275,9,9.703151,1.0,0.038586,0.038586,9.623828,0.0,0.0
0.039,10,9.573122,1.0,0.048807,0.048807,9.426107,0.0,0.0
