accuracy,epoch,eval_loss,gate_mean,mrr,primary_metric,train_loss,warrant_logit_mean,warrant_tail_mass_mean
0.024,1,15.788023,1.0,0.040038,0.040038,22.435743,0.0,1.0
0.037,2,12.530093,1.0,0.064902,0.064902,14.913553,0.0,1.0
0.0665,3,11.02405,1.0,0.095163,0.095163,12.150292,0.0,1.0
0.063,4,10.221828,1.0,0.095084,0.095084,10.643815,0.0,1.0
0.074,5,9.726856,1.0,0.104649,0.104649,9.881848,0.0,1.0
0.0705,6,9.364938,1.0,0.104922,0.104922,9.384537,0.0,1.0
0.084,7,9.12566,1.0,0.113792,0.113792,8.99468,0.0,1.0
0.082,8,8.962049,1.0,0.114511,0.114511,8.718733,0.0,1.0
0.0845,9,8.831564,1.0,0.11771,0.11771,8.522552,0.0,1.0
0.081,10,8.721527,1.0,0.116489,0.116489,8.330027,0.0,1.0
