accuracy,epoch,eval_loss,gate_mean,mrr,primary_metric,train_loss,warrant_logit_mean,warrant_tail_mass_mean
0.0245,1,15.874449,0.950632,0.039918,0.039918,22.529625,2.883976,1.0
0.033,2,12.593966,0.952829,0.058264,0.058264,15.019181,2.915996,1.0
0.0675,3,11.054342,0.95993,0.093027,0.093027,12.249135,3.08647,1.0
0.0675,4,10.23294,0.969567,0.097019,0.097019,10.725308,3.358169,1.0
0.0775,5,9.759988,0.977982,0.105076,0.105076,9.97071,3.707448,1.0
0.0735,6,9.408881,0.980297,0.10459,0.10459,9.458194,3.814463,1.0
0.082,7,9.172317,0.979857,0.111094,0.111094,9.071043,3.79638,1.0
0.0795,8,9.004902,0.977868,0.112274,0.112274,8.810267,3.724387,1.0
0.0835,9,8.877588,0.975093,0.115149,0.115149,8.607023,3.638781,1.0
0.081,10,8.765232,0.971151,0.114359,0.114359,8.417494,3.50583,1.0
