domain,dataset,model,variant,seeds,mean,std
ctdg,lastfm,DyGFormer,attention_adapter,3,0.9032463333333334,0.0006353159319057752
ctdg,lastfm,DyGFormer,combined_full,3,0.9039613333333333,0.0022527364100873564
ctdg,lastfm,DyGFormer,generic_open_path,3,0.9022083333333334,0.001196273519448362
ctdg,lastfm,DyGFormer,generic_qk_warrant,3,0.848384,0.007361913677842218
ctdg,lastfm,DyGFormer,item_only_gate,3,0.902241,0.002175165051208796
ctdg,lastfm,DyGFormer,normalized_gate,3,0.9060786666666667,0.0008219211235473417
ctdg,lastfm,DyGFormer,scalar_gate,3,0.9025643333333333,0.0018122958735630088
mtpp,retweets,THP,attention_adapter,3,0.7542596666666667,0.008112644965320066
mtpp,retweets,THP,item_only_gate,3,0.7503146666666667,0.012720331533939401
mtpp,retweets,THP,normalized_gate,3,0.7520353333333334,0.012611066264726913
mtpp,retweets,THP,scalar_gate,3,0.7574293333333333,0.015343113971203309
rag,hotpotqa,FiD,attention_adapter,3,0.6588853333333333,0.0015062391355071692
rag,hotpotqa,FiD,frozen_attention_adapter,3,0.6575099000391968,0.0005517208998903548
rag,hotpotqa,FiD,frozen_gate,3,0.656987549126221,0.00041419734600251266
rag,hotpotqa,FiD,item_only_gate,3,0.6582743333333333,0.0014816856391736404
rag,hotpotqa,FiD,normalized_gate,3,0.6592526666666667,0.0006994407289637613
rag,hotpotqa,FiD,scalar_gate,3,0.6587636666666666,0.0008063152815948341
stpp,earthquake,DeepSTPP,attention_adapter,3,1.0563716666666667,0.07174315529953597
stpp,earthquake,DeepSTPP,item_only_gate,3,1.0587513333333334,0.07804669920844402
stpp,earthquake,DeepSTPP,normalized_gate,3,1.0622916666666666,0.08059649813939394
stpp,earthquake,DeepSTPP,scalar_gate,3,1.0533233333333334,0.0942101949171815
tkg,gdelt,xERTE,attention_adapter,3,0.14264066666666667,0.0002987730465308652
tkg,gdelt,xERTE,frozen_attention_adapter,3,0.14197308194918964,0.0011116849815686891
tkg,gdelt,xERTE,frozen_gate,3,0.14236596633400245,0.0009597833024966298
tkg,gdelt,xERTE,item_only_gate,3,0.14243833333333333,0.0006732817637017333
tkg,gdelt,xERTE,normalized_gate,3,0.14340566666666665,0.00057391840302724
tkg,gdelt,xERTE,scalar_gate,3,0.142505,0.0008076379139193475
