accuracy,auc,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.573619,0.607963,1,0.705427,1.0,0.607963,0.743491,0.0
0.60444,0.659567,2,0.658451,1.0,0.659567,0.665415,0.0
0.62931,0.684205,3,0.637976,1.0,0.684205,0.6274,0.0
0.652273,0.714919,4,0.621576,1.0,0.714919,0.592085,0.0
0.668523,0.734323,5,0.609954,1.0,0.734323,0.563083,0.0
0.692554,0.758426,6,0.600496,1.0,0.758426,0.536647,0.0
0.692783,0.759476,7,0.602496,1.0,0.759476,0.509065,0.0
0.702701,0.770416,8,0.609562,1.0,0.770416,0.486303,0.0
0.710558,0.780292,9,0.59616,1.0,0.780292,0.465822,0.0
0.721163,0.787479,10,0.60753,1.0,0.787479,0.442726,0.0
