accuracy,auc,edge_attention_grad_norm,edge_gate_grad_norm,edge_warrant_attention_entropy,edge_warrant_gate_high_fraction,edge_warrant_gate_low_fraction,edge_warrant_gate_mean,edge_warrant_gate_std,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.57606,0.60596,0.000278,0.000247,3.46256,0.0,0.0,0.973524,0.00095,1,0.703517,1.0,0.60596,0.7431,0.0
0.623055,0.673136,0.002384,0.000724,2.599055,1.0,0.0,0.998304,0.000216,2,0.647123,1.0,0.673136,0.662937,0.0
0.716433,0.835548,0.008647,0.000133,2.164621,1.0,0.0,0.999965,3e-06,3,0.539234,1.0,0.835548,0.601166,0.0
0.827662,0.888266,0.017659,1.4e-05,2.171621,1.0,0.0,0.999995,0.0,4,0.413059,1.0,0.888266,0.515232,0.0
0.839182,0.888449,0.009359,2e-06,2.534734,1.0,0.0,0.999996,0.0,5,0.394557,1.0,0.888449,0.480668,0.0
0.83491,0.891721,0.00836,2e-06,2.657482,1.0,0.0,0.999996,0.0,6,0.398931,1.0,0.891721,0.470493,0.0
0.840632,0.896243,0.007141,1e-06,2.458807,1.0,0.0,0.999997,0.0,7,0.389678,1.0,0.896243,0.454996,0.0
0.841471,0.893634,0.008683,1e-06,2.681612,1.0,0.0,0.999996,1e-06,8,0.392144,1.0,0.893634,0.447175,0.0
0.837733,0.895653,0.008114,1e-06,2.542487,1.0,0.0,0.999996,1e-06,9,0.389555,1.0,0.895653,0.436115,0.0
0.830256,0.895032,0.008276,1e-06,2.636096,1.0,0.0,0.999996,1e-06,10,0.398558,1.0,0.895032,0.422202,0.0
