accuracy,auc,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.577357,0.609655,3.464431,1.0,1,0.700993,0.916,0.609655,0.743054,3.722456
0.631065,0.676432,2.647728,1.0,2,0.643104,0.93185,0.676432,0.663217,7.959023
0.751602,0.832161,2.233121,1.0,3,0.521478,0.932057,0.832161,0.600097,12.698694
0.835825,0.887855,2.277469,1.0,4,0.401469,0.932058,0.887855,0.513179,13.321463
0.840937,0.888674,2.60354,1.0,5,0.392971,0.932059,0.888674,0.480206,14.255825
0.83346,0.893255,2.625523,1.0,6,0.398887,0.932057,0.893255,0.470223,13.706707
0.839792,0.896166,2.648703,1.0,7,0.387834,0.932052,0.896166,0.455504,12.154076
0.83758,0.894075,2.739138,1.0,8,0.389879,0.932042,0.894075,0.445493,11.421109
0.836665,0.895941,2.701054,1.0,9,0.389908,0.932016,0.895941,0.4364,10.663915
0.838648,0.899261,2.733787,1.0,10,0.386835,0.932033,0.899261,0.423155,11.640006
