accuracy,auc,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.578654,0.609208,3.376167,0.964173,1,0.701351,1.0,0.609208,0.742875,0.0
0.626182,0.674007,2.599613,0.973699,2,0.644818,1.0,0.674007,0.663609,0.0
0.742447,0.830954,2.202827,0.9851,3,0.527019,1.0,0.830954,0.601789,0.0
0.834757,0.886949,2.203804,0.989623,4,0.402862,1.0,0.886949,0.51616,0.0
0.836131,0.888617,2.48415,0.98872,5,0.402075,1.0,0.888617,0.48167,0.0
0.836741,0.892325,2.511762,0.987132,6,0.396385,1.0,0.892325,0.469868,0.0
0.838496,0.89603,2.548128,0.986638,7,0.388713,1.0,0.89603,0.455464,0.0
0.840555,0.894361,2.737502,0.985601,8,0.388437,1.0,0.894361,0.445242,0.0
0.838343,0.89601,2.619698,0.984889,9,0.389264,1.0,0.89601,0.435713,0.0
0.837199,0.898661,2.690802,0.983833,10,0.389857,1.0,0.898661,0.422626,0.0
