accuracy,auc,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.578425,0.609351,3.465383,1.0,1,0.701206,1.0,0.609351,0.742812,0.0
0.627708,0.674825,2.649478,1.0,2,0.644213,1.0,0.674825,0.663386,0.0
0.741303,0.832261,2.230295,1.0,3,0.527039,1.0,0.832261,0.601312,0.0
0.828654,0.887862,2.22022,1.0,4,0.410898,1.0,0.887862,0.514847,0.0
0.841089,0.889119,2.573085,1.0,5,0.392034,1.0,0.889119,0.480233,0.0
0.832621,0.892958,2.571396,1.0,6,0.399566,1.0,0.892958,0.470408,0.0
0.838648,0.896097,2.644567,1.0,7,0.38824,1.0,0.896097,0.455461,0.0
0.837504,0.894342,2.746619,1.0,8,0.390609,1.0,0.894342,0.444979,0.0
0.835444,0.896101,2.659437,1.0,9,0.390993,1.0,0.896101,0.436163,0.0
0.840632,0.899666,2.70155,1.0,10,0.384545,1.0,0.899666,0.423261,0.0
