accuracy,auc,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.578731,0.609212,3.378121,0.965485,1,0.70135,1.0,0.609212,0.742875,0.0
0.626717,0.674321,2.596323,0.983225,2,0.644657,1.0,0.674321,0.663563,0.0
0.743744,0.83265,2.189149,0.993755,3,0.52563,1.0,0.83265,0.601513,0.0
0.831935,0.887556,2.171174,0.996275,4,0.407345,1.0,0.887556,0.515157,0.0
0.839869,0.888934,2.530458,0.992688,5,0.39302,1.0,0.888934,0.481265,0.0
0.835597,0.892845,2.50455,0.991577,6,0.396759,1.0,0.892845,0.470575,0.0
0.838724,0.895989,2.552965,0.990951,7,0.389405,1.0,0.895989,0.455612,0.0
0.838419,0.894745,2.733894,0.987952,8,0.388819,1.0,0.894745,0.444641,0.0
0.835368,0.896095,2.61778,0.988762,9,0.391881,1.0,0.896095,0.43594,0.0
0.840098,0.899346,2.691087,0.986929,10,0.385534,1.0,0.899346,0.423278,0.0
