accuracy,auc,edge_attention_grad_norm,edge_gate_grad_norm,edge_warrant_attention_entropy,edge_warrant_gate_high_fraction,edge_warrant_gate_low_fraction,edge_warrant_gate_mean,edge_warrant_gate_std,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.572551,0.603322,0.00019,0.705531,3.508654,0.0,0.0,0.756277,0.002939,1,0.704744,1.0,0.603322,0.972829,0.0
0.60177,0.63993,0.000238,0.525828,3.197352,0.0,1.0,0.075336,0.000955,2,0.66488,1.0,0.63993,0.723098,0.0
0.638084,0.694978,8.6e-05,0.121415,2.391055,0.0,0.959363,0.079815,0.014462,3,0.63448,1.0,0.694978,0.653374,0.0
0.684086,0.761705,0.000687,0.075345,1.490985,0.0,0.463768,0.133984,0.085034,4,0.588131,1.0,0.761705,0.607755,0.0
0.822551,0.869196,0.004434,0.223572,2.184532,0.0,0.932596,0.104581,0.141493,5,0.429089,1.0,0.869196,0.534181,0.0
0.825221,0.887531,0.001956,0.044081,2.143361,0.000708,0.934748,0.108055,0.169623,6,0.411634,1.0,0.887531,0.485838,0.0
0.832011,0.888827,0.001443,0.014597,2.100926,0.034627,0.934466,0.112361,0.183355,7,0.40855,1.0,0.888827,0.458527,0.0
0.831858,0.890575,0.001306,0.009026,2.153867,0.04479,0.934791,0.112053,0.183562,8,0.402705,1.0,0.890575,0.446533,0.0
0.835825,0.894319,0.001826,0.007021,2.195196,0.052852,0.934769,0.112425,0.184669,9,0.400409,1.0,0.894319,0.435483,0.0
0.829341,0.889659,0.001977,0.006259,2.18403,0.043483,0.934357,0.111029,0.181745,10,0.408856,1.0,0.889659,0.421377,0.0
