accuracy,auc,edge_attention_grad_norm,edge_gate_grad_norm,edge_warrant_attention_entropy,edge_warrant_gate_high_fraction,edge_warrant_gate_low_fraction,edge_warrant_gate_mean,edge_warrant_gate_std,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.574611,0.604575,0.000243,0.067234,3.493791,0.0,0.0,0.762472,0.00396,1,0.704444,1.0,0.604575,0.766299,0.0
0.605661,0.643166,0.000584,0.044001,2.624298,0.0,0.422212,0.102652,0.006505,2,0.662951,1.0,0.643166,0.673685,0.0
0.668981,0.750049,0.001458,0.0567,1.795835,0.0,0.0,0.280056,0.138206,3,0.602741,1.0,0.750049,0.624561,0.0
0.816372,0.877392,0.00606,0.176397,2.307811,0.0,0.903328,0.116113,0.142448,4,0.430275,1.0,0.877392,0.545827,0.0
0.828273,0.883015,0.00258,0.052419,2.288092,0.000271,0.934668,0.108489,0.168446,5,0.416293,1.0,0.883015,0.483309,0.0
0.831553,0.886887,0.001917,0.020947,2.239587,0.003954,0.934109,0.114639,0.178845,6,0.409571,1.0,0.886887,0.473113,0.0
0.835215,0.891438,0.002185,0.008463,2.407495,0.003401,0.934252,0.112514,0.179694,7,0.399855,1.0,0.891438,0.45693,0.0
0.834223,0.889376,0.003077,0.0114,2.432809,0.01122,0.932876,0.113967,0.180393,8,0.397828,1.0,0.889376,0.446765,0.0
0.828273,0.887424,0.003611,0.006633,2.382635,0.005351,0.933994,0.110586,0.175427,9,0.412466,1.0,0.887424,0.435811,0.0
0.823695,0.889335,0.002741,0.008604,2.277368,0.005992,0.934341,0.109601,0.174076,10,0.407897,1.0,0.889335,0.423651,0.0
